Time (UTC),Latitude,Longitude,Depth (Sonar),Temperature (°C),pH,Depth (m),Conductivity (uS/cm),Dissolved Oxygen Saturation,Dissolved Oxygen Concentration (mg/L),Chlorophyll (ug/L),CDOM (ppb),Turbidity (NTU)
1733527898.1095047,33.4304082,-111.9288881,1.5509999990463257,16.72,9.04,0.02,1553,127.8,11.96,19.28,0.14,
1733527899.1137965,33.4304081,-111.9288885,1.777999997138977,16.73,9.04,0.02,1553,127.8,11.96,21.38,0.10,
1733527900.1137292,33.430408,-111.9288884,2.0309998989105225,16.73,9.04,0.02,1552,127.8,11.96,19.86,0.11,
1733527901.1071186,33.430408,-111.9288887,2.2739999294281006,16.73,9.04,0.02,1552,127.8,11.96,19.06,0.11,
1733527902.1041665,33.4304075,-111.9288885,2.6040000915527344,16.73,9.04,0.02,1552,127.8,11.96,19.62,0.15,
1733527903.1048791,33.4304073,-111.9288882,0.7310000061988831,16.73,9.04,0.02,1552,127.8,11.96,21.03,0.09,
1733527904.1139972,33.4304071,-111.9288878,0.7789999842643738,16.73,9.04,0.02,1552,127.8,11.96,20.02,0.11,
1733527905.112925,33.4304071,-111.9288875,0.7540000081062317,16.73,9.04,0.02,1552,127.8,11.96,19.82,0.12,
1733527906.1228256,33.4304071,-111.9288868,0.8999999761581421,16.73,9.04,0.02,1552,127.8,11.96,20.13,0.17,
1733527907.12365,33.430407,-111.9288861,0.765999972820282,16.73,9.04,0.02,1553,127.8,11.96,19.94,0.13,
1733527908.1134777,33.4304069,-111.9288855,1.0479999780654907,16.73,9.04,0.02,1553,127.8,11.96,20.19,0.15,
1733527909.1130412,33.430407,-111.9288847,1.003999948501587,16.73,9.04,0.02,1553,127.8,11.97,20.34,0.14,
1733527910.1134403,33.4304069,-111.9288844,1.1890000104904175,16.73,9.04,0.03,1553,127.8,11.97,20.25,0.09,
1733527911.1134048,33.4304066,-111.9288841,1.3669999837875366,16.73,9.04,0.02,1553,127.8,11.97,20.00,0.08,
1733527912.1235268,33.4304061,-111.9288837,0.5569999814033508,16.73,9.04,0.02,1553,127.8,11.97,19.86,0.06,
1733527913.1126719,33.4304057,-111.9288833,0.5699999928474426,16.73,9.04,0.02,1553,127.8,11.97,20.17,0.15,
1733527914.112521,33.4304053,-111.9288828,0.6119999885559082,16.73,9.04,0.02,1552,127.8,11.97,19.14,0.16,
1733527915.1335242,33.430405,-111.928882,0.6620000004768372,16.73,9.04,0.02,1552,127.8,11.97,21.13,0.14,
1733527916.1225781,33.4304049,-111.9288816,0.7360000014305115,16.73,9.04,0.02,1552,127.8,11.97,19.53,0.12,
1733527917.123198,33.4304047,-111.9288815,0.7910000085830688,16.73,9.04,0.03,1553,127.8,11.97,21.24,0.10,
1733527918.1227071,33.4304047,-111.9288816,0.8920000195503235,16.73,9.04,0.02,1552,127.8,11.97,20.24,0.18,
1733527919.1233804,33.4304046,-111.9288813,1.0119999647140503,16.73,9.04,0.02,1552,127.8,11.97,21.26,0.18,
1733527920.1308799,33.4304045,-111.928881,1.1180000305175781,16.73,9.04,0.02,1552,127.8,11.97,20.12,0.14,
1733527921.1331303,33.4304042,-111.9288809,1.2990000247955322,16.73,9.04,0.02,1552,127.8,11.97,20.60,0.15,
1733527922.1330817,33.4304041,-111.928881,1.4759999513626099,16.73,9.04,0.02,1552,127.8,11.97,20.15,0.12,
1733527923.122556,33.4304038,-111.9288813,1.659999966621399,16.73,9.04,0.02,1552,127.8,11.97,19.53,0.14,
