Time (UTC),Latitude,Longitude,Depth (Sonar),Temperature (°C),pH,Depth (m),Conductivity (uS/cm),Dissolved Oxygen Saturation,Dissolved Oxygen Concentration (mg/L),Chlorophyll (ug/L),CDOM (ppb),Turbidity (NTU)
1739641067.55325,33.4304892,-111.9300705,0.577000021934509,14.28,9.08,-0.01,1458,133.5,13.18,6.2,0.08,27.07
1739641068.55157,33.4304889,-111.9300703,0.563000023365021,14.29,9.08,-0.01,1457,133.5,13.17,6.21,0.03,27.84
1739641069.55435,33.4304894,-111.9300703,0.573000013828278,14.3,9.08,-0.01,1457,133.5,13.17,6.17,0.11,28.24
1739641070.55223,33.4304901,-111.9300702,0.583999991416931,14.31,9.08,-0.01,1457,133.8,13.2,6.3,0.06,28.39
1739641071.55161,33.4304909,-111.9300703,0.612999975681305,14.29,9.08,-0.01,1458,133.8,13.2,6.2,0.12,28.47
1739641072.55235,33.430492,-111.9300701,0.619000017642975,14.28,9.08,-0.01,1458,133.8,13.21,5.7,0.08,28.47
1739641073.56029,33.4304932,-111.9300697,0.580999970436096,14.27,9.08,-0.01,1459,134.2,13.24,5.86,0.13,28.49
1739641074.55964,33.4304943,-111.9300697,0.628000020980835,14.25,9.08,-0.01,1459,134.2,13.25,5.95,0.08,28.55
1739641075.5517,33.4304954,-111.9300696,0.624000012874603,14.22,9.08,-0.02,1460,134.2,13.26,5.97,0.12,28.82
1739641076.55192,33.4304965,-111.9300691,0.611999988555908,14.22,9.08,-0.01,1460,134.4,13.28,5.66,0.14,28.87
1739641077.55175,33.4304975,-111.930069,0.639999985694885,14.21,9.08,-0.01,1460,134.4,13.28,5.81,0.08,29.06
1739641078.55188,33.4304983,-111.9300686,0.630999982357025,14.22,9.08,-0.01,1460,134.4,13.28,5.95,0.06,29.06
1739641079.55237,33.4304994,-111.9300689,0.620000004768372,14.23,9.08,-0.01,1459,134.6,13.3,5.84,0.13,28.85
1739641080.55949,33.4305005,-111.9300683,0.619000017642975,14.25,9.08,-0.01,1459,134.6,13.3,6.13,0.03,28.41
1739641081.56933,33.4305014,-111.930068,0.600000023841858,14.25,9.08,-0.01,1459,134.6,13.3,5.69,0.12,28
1739641082.5698,33.430502,-111.9300684,0.58899998664856,14.25,9.08,-0.01,1459,134.9,13.32,5.58,0.11,27.62
1739641083.56959,33.4305022,-111.9300683,0.606000006198883,14.25,9.08,0,1459,134.9,13.32,5.66,0.09,26.92
1739641084.5596,33.4305024,-111.930069,0.602999985218048,14.25,9.08,-0.01,1458,134.9,13.32,5.72,0.1,25.95
1739641085.55928,33.430503,-111.9300688,0.587000012397766,14.25,9.08,-0.01,1458,135.1,13.34,6.07,0.11,24.76
1739641086.56015,33.430503,-111.9300686,0.601000010967255,14.27,9.08,-0.01,1457,135.1,13.34,5.67,0.09,24.38
1739641087.55987,33.4305036,-111.9300691,0.570999979972839,14.27,9.08,-0.01,1459,135.1,13.34,5.52,0.07,24.38
1739641088.55956,33.4305036,-111.9300691,0.579999983310699,14.27,9.08,-0.01,1459,135.4,13.37,5.69,0.1,24.6
1739641089.5608,33.4305041,-111.9300692,0.593999981880188,14.28,9.08,-0.01,1459,135.4,13.36,5.6,0.11,25.72
