Time (UTC),Latitude,Longitude,Depth (Sonar),Temperature (°C),pH,Depth (m),Conductivity (uS/cm),Dissolved Oxygen Saturation,Dissolved Oxygen Concentration (mg/L),Chlorophyll (ug/L),CDOM (ppb),Turbidity (NTU)
1738367841.5374823,33.4306125,-111.9300858,0.9359999895095825,13.04,9.17,-0.00,1478,138.6,14.05,13.98,0.17,28.58
1738367842.53911,33.4306124,-111.9300858,0.9290000200271606,13.04,9.17,-0.00,1477,138.6,14.05,13.57,0.11,28.64
1738367843.536309,33.4306119,-111.9300867,0.9300000071525574,13.05,9.17,0.00,1477,138.5,14.05,14.25,0.17,28.73
1738367844.5367882,33.4306115,-111.9300878,0.9340000152587891,13.05,9.17,-0.00,1477,138.5,14.05,13.98,0.16,28.61
1738367845.5367136,33.4306109,-111.9300892,0.9290000200271606,13.05,9.17,0.00,1477,138.5,14.05,14.09,0.16,28.61
1738367846.5366635,33.4306102,-111.9300905,0.9440000057220459,13.05,9.17,0.00,1477,138.5,14.04,14.43,0.16,28.54
1738367847.5367792,33.4306093,-111.930092,0.9509999752044678,13.05,9.17,0.00,1477,138.5,14.04,13.90,0.18,28.35
1738367848.538627,33.4306087,-111.9300931,0.9610000252723694,13.05,9.17,-0.00,1477,138.5,14.04,14.23,0.14,28.34
1738367849.5373135,33.4306088,-111.9300939,0.9760000109672546,13.05,9.17,-0.00,1477,138.4,14.04,13.61,0.18,28.37
1738367850.536999,33.4306085,-111.9300948,0.9959999918937683,13.05,9.17,0.00,1477,138.4,14.04,13.89,0.15,28.37
1738367851.5367234,33.4306081,-111.9300953,1.0,13.05,9.17,0.00,1477,138.4,14.04,13.79,0.13,28.30
1738367852.5374603,33.430608,-111.9300958,1.0160000324249268,13.05,9.17,0.00,1477,138.4,14.04,14.20,0.10,28.32
1738367853.538234,33.430608,-111.9300967,1.0210000276565552,13.05,9.17,0.00,1477,138.4,14.03,14.18,0.18,28.26
1738367854.5366058,33.4306078,-111.9300971,1.0199999809265137,13.05,9.17,0.00,1477,138.4,14.03,13.75,0.13,28.11
1738367855.536817,33.4306076,-111.9300977,1.0219999551773071,13.05,9.17,-0.00,1477,138.4,14.03,14.27,0.15,28.02
1738367856.5368755,33.4306068,-111.9300986,1.0240000486373901,13.05,9.17,0.00,1477,138.4,14.03,14.41,0.15,28.02
1738367857.537162,33.4306061,-111.9301,1.0140000581741333,13.05,9.17,0.00,1477,138.4,14.03,13.81,0.12,28.11
