Time (UTC),Latitude,Longitude,Depth (Sonar),Temperature (°C),pH,Depth (m),Conductivity (uS/cm),Dissolved Oxygen Saturation,Dissolved Oxygen Concentration (mg/L),Chlorophyll (ug/L),CDOM (ppb),Turbidity (NTU)
1728001318.9487426,33.4304136,-111.9287582,1.1859999895095825,29.72,8.94,-0.06,1587,132.1,9.66,7.88,0.17,
1728001319.9700363,33.4304131,-111.9287584,1.1979999542236328,29.72,8.94,-0.06,1586,132.0,9.65,8.82,0.22,
1728001320.9602265,33.430413,-111.9287582,1.2079999446868896,29.72,8.94,-0.06,1586,132.0,9.66,8.12,0.19,
1728001321.948493,33.4304128,-111.928758,1.1920000314712524,29.72,8.94,-0.06,1586,132.0,9.65,8.10,0.15,
1728001322.9503303,33.4304123,-111.9287579,1.187000036239624,29.72,8.94,-0.05,1586,132.0,9.65,8.38,0.14,
1728001323.9599516,33.4304119,-111.9287577,1.1979999542236328,29.72,8.94,-0.05,1586,132.0,9.65,8.08,0.21,
1728001324.9699287,33.4304122,-111.9287576,1.2039999961853027,29.73,8.93,-0.05,1586,132.0,9.65,7.52,0.15,
1728001325.9589708,33.4304124,-111.9287583,1.2309999465942383,29.73,8.93,-0.05,1586,132.0,9.65,7.29,0.14,
1728001326.9791274,33.4304132,-111.9287611,1.2829999923706055,29.73,8.91,-0.09,1586,132.0,9.65,6.80,0.19,
1728001327.9602406,33.4304127,-111.9287632,1.3220000267028809,29.73,8.92,-0.06,1586,132.0,9.65,7.02,0.17,
1728001328.9590316,33.4304131,-111.9287643,1.3589999675750732,29.72,8.92,-0.06,1587,132.0,9.66,7.05,0.20,
1728001329.9594698,33.4304166,-111.9287642,1.4450000524520874,29.72,8.92,-0.06,1587,132.0,9.66,7.02,0.13,
1728001330.9781663,33.430423,-111.928764,1.6050000190734863,29.72,8.90,-0.10,1586,132.0,9.66,6.41,0.11,
1728001331.959631,33.4304297,-111.9287632,1.74399995803833,29.72,8.90,-0.10,1586,132.0,9.65,6.34,0.14,
1728001332.9686558,33.4304366,-111.9287619,1.9359999895095825,29.73,8.90,-0.09,1586,132.0,9.65,6.42,0.11,
