Time (UTC),Latitude,Longitude,Depth (Sonar),Temperature (°C),pH,Depth (m),Conductivity (uS/cm),Dissolved Oxygen Saturation,Dissolved Oxygen Concentration (mg/L),Chlorophyll (ug/L),CDOM (ppb),Turbidity (NTU)
1726795138.9630706,33.4303655,-111.9285823,1.1119999885559082,27.03,8.99,-0.06,1552,116.1,8.91,20.16,0.18,
1726795139.9574304,33.4303659,-111.9285825,1.1080000400543213,27.03,8.99,-0.07,1552,116.1,8.91,20.76,0.13,
1726795140.957291,33.4303657,-111.9285822,1.093000054359436,27.03,8.98,-0.07,1552,116.1,8.91,21.35,0.14,
1726795141.9574552,33.4303652,-111.9285826,1.0889999866485596,27.02,8.98,-0.07,1552,116.2,8.91,21.16,0.21,
1726795142.957788,33.4303652,-111.9285826,1.093000054359436,27.02,8.99,-0.06,1552,116.2,8.91,20.66,0.12,
1726795143.9575813,33.430365,-111.9285824,1.10099995136261,27.02,8.99,-0.07,1552,116.2,8.91,20.88,0.18,
1726795144.957743,33.4303651,-111.9285822,1.1080000400543213,27.02,8.99,-0.07,1552,116.2,8.91,19.98,0.17,
1726795145.9571629,33.4303653,-111.9285821,1.1069999933242798,27.02,8.98,-0.07,1552,116.3,8.92,19.89,0.21,
1726795146.9578328,33.4303653,-111.9285822,1.1080000400543213,27.02,8.98,-0.07,1552,116.3,8.92,19.69,0.14,
1726795147.9576054,33.4303654,-111.9285823,1.116000056266785,27.02,8.98,-0.07,1552,116.3,8.92,21.42,0.2,
1726795148.9577749,33.4303656,-111.9285824,1.1169999837875366,27.03,8.98,-0.07,1552,116.3,8.92,20.96,0.15,
1726795149.9580207,33.4303655,-111.9285825,1.1100000143051147,27.03,8.98,-0.06,1552,116.3,8.92,20.93,0.15,
1726795150.9576857,33.4303652,-111.9285829,1.1119999885559082,27.02,8.98,-0.07,1552,116.3,8.92,21.57,0.23,
1726795151.95881,33.430365,-111.9285832,1.121999979019165,27.02,8.98,-0.07,1552,116.3,8.92,20.43,0.13,
1726795152.9578629,33.4303651,-111.9285834,1.1239999532699585,27.02,8.98,-0.06,1552,116.3,8.92,21.15,0.2,
1726795153.958248,33.4303652,-111.9285839,1.128000020980835,27.02,8.98,-0.07,1552,116.3,8.92,21.99,0.16,
1726795154.9582949,33.4303653,-111.9285842,1.1299999952316284,27.02,8.98,-0.07,1552,116.3,8.92,21.63,0.19,
1726795155.95813,33.4303658,-111.9285843,1.1390000581741333,27.02,8.99,-0.07,1552,116.3,8.92,22.04,0.1,
1726795156.9648316,33.4303659,-111.9285849,1.1330000162124634,27.02,8.99,-0.07,1552,116.3,8.92,20.37,0.21,
1726795157.9836664,33.4303661,-111.9285856,1.1349999904632568,27.02,8.99,-0.07,1552,116.3,8.92,20.44,0.14,
1726795158.9575033,33.4303663,-111.9285861,1.13100004196167,27.02,8.99,-0.07,1552,116.3,8.92,20.17,0.14,
1726795159.957463,33.4303663,-111.928587,1.133999943733215,27.02,8.99,-0.07,1552,116.3,8.92,20.45,0.18,
1726795160.959931,33.4303667,-111.9285878,1.1380000114440918,27.02,8.98,-0.07,1552,116.3,8.92,19.47,0.16,
1726795161.957193,33.4303669,-111.9285886,1.1360000371932983,27.02,8.98,-0.07,1552,116.4,8.93,19.45,0.15,
1726795162.9574466,33.430367,-111.9285894,1.1360000371932983,27.02,8.98,-0.07,1552,116.4,8.93,19.96,0.16,
1726795163.9642608,33.4303671,-111.9285902,1.1380000114440918,27.02,8.98,-0.07,1552,116.4,8.93,20.85,0.17,
1726795164.9586756,33.4303671,-111.928591,1.1410000324249268,27.02,8.98,-0.07,1552,116.3,8.92,20.26,0.13,
1726795165.9651637,33.4303664,-111.9285922,1.1469999551773071,27.02,8.98,-0.07,1552,116.3,8.92,21.52,0.17,
1726795166.9638898,33.4303658,-111.9285934,1.1579999923706057,27.02,8.98,-0.06,1552,116.3,8.92,20.27,0.19,
1726795167.963728,33.4303658,-111.928594,1.159999966621399,27.02,8.98,-0.07,1552,116.3,8.92,20.41,0.14,
1726795168.9632435,33.430366,-111.9285947,1.1670000553131104,27.02,8.98,-0.07,1552,116.3,8.92,21.0,0.2,
1726795169.9634445,33.430366,-111.9285952,1.1660000085830688,27.02,8.98,-0.07,1552,116.3,8.92,21.09,0.13,
1726795170.963353,33.4303655,-111.9285954,1.1670000553131104,27.02,8.98,-0.07,1552,116.3,8.92,20.87,0.15,
1726795171.963314,33.4303651,-111.9285956,1.1740000247955322,27.02,8.98,-0.07,1552,116.3,8.92,21.15,0.18,
1726795172.9642413,33.4303647,-111.9285956,1.190000057220459,27.02,8.98,-0.07,1552,116.3,8.92,21.32,0.19,
1726795173.963845,33.4303646,-111.9285959,1.1970000267028809,27.02,8.98,-0.07,1552,116.3,8.92,21.53,0.16,
1726795174.963504,33.4303645,-111.9285965,1.2089999914169312,27.02,8.98,-0.07,1552,116.3,8.92,21.74,0.17,
1726795175.963664,33.4303643,-111.9285971,1.2070000171661377,27.02,8.98,-0.07,1552,116.3,8.92,21.59,0.2,
