type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-0.2945,-1.3343,132.9736,1.5950,0.000000,True
cold,-0.4378,-0.0962,131.8226,1.7787,0.000000,True
cold,0.6842,-0.6465,132.0669,1.0626,0.016996,True
hot,1.0185,0.9493,132.6597,0.6748,0.256168,False
cold,-0.8197,-0.9216,132.2909,0.4062,0.370494,False
cold,-0.9629,1.7473,132.2993,0.3814,0.595162,False
cold,2.0688,0.8118,132.3932,0.1063,0.845358,False
cold,1.9972,-0.0962,132.3947,0.1019,0.862612,False
hot,1.8062,-1.8571,132.4294,-0.0002,0.897870,False
hot,1.8779,-1.8571,132.4294,-0.0002,0.898716,False
hot,1.8540,-1.8571,132.4294,-0.0002,0.908155,False
hot,1.9495,-1.8846,132.4294,-0.0002,0.909315,False
hot,1.9256,-1.8846,132.4294,-0.0002,0.909830,False
hot,1.7824,-1.8571,132.4294,-0.0002,0.910116,False
hot,1.9017,-1.8846,132.4294,-0.0002,0.911202,False
hot,1.8062,-1.8846,132.4294,-0.0002,0.924314,False
hot,1.7585,-1.8571,132.4294,-0.0002,0.927168,False
hot,1.7346,-1.8846,132.4294,-0.0002,0.927372,False
hot,1.7824,-1.8296,132.4294,-0.0002,0.928493,False
hot,1.8301,-1.8571,132.4294,-0.0002,0.930985,False
hot,1.8779,-1.8846,132.4294,-0.0002,0.934392,False
hot,1.8540,-1.8846,132.4294,-0.0002,0.939983,False
hot,1.7824,-1.8846,132.4294,-0.0002,0.942703,False
hot,1.7585,-1.8846,132.4294,-0.0002,0.946337,False
hot,1.8301,-1.8846,132.4294,-0.0002,0.953264,False
hot,0.4694,0.1789,132.7659,0.0000,1.000000,False
