type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,-0.6049,-1.8571,1541.7286,2.3184,0.001683,True
hot,-0.9868,1.7748,1544.1066,1.7131,0.029614,True
hot,-0.2945,-1.0317,1543.6237,0.8944,0.372566,False
cold,1.7585,-0.0687,1542.8408,0.4328,0.814418,False
cold,-0.7481,0.7567,1542.9353,0.2726,0.819598,False
hot,0.9468,-0.4814,1543.3014,0.3480,0.823083,False
hot,1.2811,1.0594,1543.2793,0.3106,0.829344,False
hot,2.2121,-1.8846,1543.0958,-0.0005,0.911793,False
hot,2.1643,-1.8846,1543.0958,-0.0005,0.917596,False
hot,2.2837,-1.8846,1543.0958,-0.0005,0.921965,False
hot,2.2598,-1.8846,1543.0958,-0.0005,0.923286,False
hot,2.1882,-1.8846,1543.0958,-0.0005,0.938679,False
cold,-0.5332,-0.2338,1542.8766,0.3722,0.939115,False
hot,2.2359,-1.8846,1543.0958,-0.0005,0.963952,False
