type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-2.2203,-0.9095,0.1676,1.2631,0.000000,True
hot,-1.9133,1.4331,0.1484,0.6297,0.000000,True
hot,-0.8083,-1.5218,0.1502,0.6889,0.000000,True
hot,-0.5628,0.1020,0.1377,0.2790,0.000000,True
hot,0.5116,1.2467,0.1483,0.6250,0.000000,True
hot,1.0027,0.3416,0.1541,0.8163,0.000000,True
hot,1.0334,-0.8563,0.1431,0.4564,0.000000,True
hot,1.8007,-0.7232,0.1460,0.5514,0.000000,True
cold,-1.3608,-0.7764,0.1139,0.5040,0.000000,True
cold,-0.9925,1.4331,0.0984,1.0149,0.000000,True
cold,0.0818,2.0187,0.1080,0.6995,0.000000,True
cold,0.1125,0.4481,0.1191,0.3358,0.000000,True
cold,0.1739,-0.4570,0.1166,0.4174,0.000000,True
cold,1.4017,-1.6815,0.1114,0.5874,0.000000,True
cold,1.4631,-0.1908,0.1330,-0.1238,1.000000,False
