type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,1.1868,-0.2174,12.7508,1.2743,0.000000,True
hot,1.6166,1.1935,12.8667,1.7625,0.000000,True
hot,2.0770,-1.2556,12.8131,1.5371,0.000000,True
hot,2.1384,0.0488,12.8672,1.7647,0.000000,True
cold,-2.0975,-0.9894,12.1687,1.1776,0.000000,True
cold,0.1125,-1.8412,11.7746,2.8379,0.000000,True
cold,1.2175,-1.0959,12.0650,1.6145,0.000000,True
hot,0.1739,0.5280,12.6726,0.9449,0.001134,True
hot,0.2046,1.2201,12.6655,0.9149,0.002082,True
cold,-1.5450,1.4331,12.3464,0.4292,0.273518,False
hot,0.3274,-0.9894,12.4513,0.0126,0.957738,False
cold,0.4809,0.9539,12.6498,-0.8488,1.000000,False
cold,1.4631,0.2618,12.6635,-0.9065,1.000000,False
