type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,1.4938,1.5662,19.3227,1.9516,0.492645,False
cold,-1.9133,-0.3239,14.9121,1.2194,0.693118,False
cold,-0.1023,-0.8829,15.8834,0.5210,0.724835,False
cold,0.9413,-1.6815,14.9704,1.1775,0.732609,False
cold,-1.5450,1.0604,15.3647,0.8940,0.793889,False
cold,-1.4529,-1.2822,15.0970,1.0865,0.801357,False
cold,0.2967,-0.3771,16.0041,0.4343,0.865190,False
hot,0.2353,1.7791,17.5484,0.6760,0.868454,False
cold,0.2967,0.7143,16.3353,0.1961,0.905197,False
cold,2.2612,-0.4037,16.3890,0.1576,0.926710,False
hot,0.0511,0.3150,16.4176,-0.1370,0.958391,False
hot,-1.2073,-0.5901,15.6344,-0.7001,0.984599,False
