type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-1.5757,-0.6966,0.0411,0.6524,0.000000,True
hot,-1.3915,0.4481,0.0413,0.6591,0.000000,True
hot,-1.2073,1.5129,0.0418,0.6799,0.000000,True
hot,0.0204,0.6078,0.0415,0.6654,0.000000,True
hot,0.2046,-0.8563,0.0418,0.6794,0.000000,True
hot,0.5116,-0.0843,0.0414,0.6644,0.000000,True
hot,0.5730,1.6726,0.0429,0.7237,0.000000,True
hot,0.8492,-1.4419,0.0418,0.6792,0.000000,True
hot,1.6780,-1.1757,0.0454,0.8214,0.000000,True
hot,1.7394,0.9007,0.0414,0.6619,0.000000,True
cold,-0.8083,0.0222,0.0381,-0.5318,1.000000,False
cold,-0.7469,0.9273,0.0365,-0.4675,1.000000,False
cold,0.9720,-0.8297,0.0393,-0.5789,1.000000,False
cold,1.1868,0.2618,0.0395,-0.5884,1.000000,False
