type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-0.0409,0.4215,9.1032,0.9051,0.000000,True
hot,0.0204,-0.2973,9.1018,0.8588,0.000000,True
hot,0.0511,1.4064,9.1009,0.8281,0.000000,True
hot,0.7264,0.4481,9.1006,0.8182,0.000000,True
hot,0.8185,1.2467,9.1001,0.8014,0.000000,True
hot,1.3403,1.3532,9.1000,0.7970,0.000000,True
hot,1.7087,0.6078,9.0993,0.7739,0.000000,True
hot,1.9235,-0.9095,9.0984,0.7446,0.000000,True
cold,-2.1896,0.4481,9.0704,0.1909,0.000000,True
cold,-2.1896,0.4747,9.0704,0.1909,0.000000,True
cold,-0.5321,-1.2024,9.0113,2.1688,0.000000,True
cold,0.8492,-1.5484,8.9873,2.9705,0.000000,True
cold,0.4195,0.9273,9.0993,-0.7727,1.000000,False
cold,1.3710,0.8474,9.0982,-0.7376,1.000000,False
