type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-1.8519,-0.2174,16.8478,1.2791,0.000000,True
hot,-1.6678,1.4064,16.7982,0.3122,0.000000,True
hot,-1.4529,-1.7880,16.7984,0.3149,0.000000,True
hot,0.7878,-0.9628,16.8305,0.9411,0.000000,True
hot,0.9720,1.4597,16.8837,1.9793,0.000000,True
hot,1.1868,0.5280,16.9288,2.8608,0.000000,True
hot,1.8007,-1.7348,16.7967,0.2815,0.000000,True
cold,-1.1767,-0.9362,16.7429,0.7669,0.000000,True
cold,-1.0846,0.8208,16.7421,0.7833,0.000000,True
cold,-0.7162,1.8856,16.7204,1.2061,0.000000,True
cold,-0.4400,-1.3887,16.6656,2.2755,0.000000,True
cold,0.1432,0.6078,16.6872,1.8551,0.000000,True
cold,0.6650,-1.8679,16.6693,2.2043,0.000000,True
cold,1.5859,-0.7232,16.7678,0.2809,0.000000,True
hot,-0.6548,1.2467,16.7677,-0.2834,1.000000,False
hot,-0.5014,-0.6433,16.7682,-0.2748,1.000000,False
