type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-2.3201,-1.2250,0.1254,0.3183,0.000000,True
hot,-0.0639,-0.4593,0.1321,0.5525,0.000000,True
hot,0.7009,1.3785,0.1235,0.2533,0.000000,True
hot,0.8921,-0.7145,0.1346,0.6377,0.000000,True
hot,1.8864,1.3785,0.1243,0.2806,0.000000,True
cold,-1.0964,1.0722,0.0742,1.4610,0.000000,True
cold,0.0508,-1.3016,0.0982,0.6292,0.000000,True
cold,0.3950,0.3575,0.1016,0.5111,0.000000,True
cold,1.2745,2.1698,0.1067,0.3314,0.000000,True
cold,2.6129,1.7614,0.1087,0.2622,0.000000,True
cold,1.5040,0.9446,0.1177,-0.0505,0.999917,False
hot,-0.1786,0.7659,0.1147,-0.0538,0.999991,False
