type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-1.8230,0.2809,14.0821,0.9428,0.002974,True
cold,1.1598,-0.6380,13.6241,0.8173,0.011332,True
cold,-1.8230,-1.4293,13.6281,0.8017,0.020409,True
hot,0.0126,-0.6380,13.9977,0.6182,0.025571,True
hot,1.6187,1.1488,14.0307,0.7452,0.034948,True
hot,1.7334,1.8890,14.0120,0.6731,0.044720,True
hot,-1.5553,1.1233,14.0148,0.6840,0.063259,False
hot,-2.0524,-0.5869,14.0065,0.6521,0.087405,False
hot,0.8539,0.3320,13.9968,0.6150,0.132027,False
hot,-0.1404,1.3020,13.9788,0.5457,0.186875,False
cold,-2.6260,-0.1530,13.7536,0.3195,0.509653,False
cold,-0.6375,-0.9443,13.7619,0.2876,0.584498,False
cold,-0.0257,0.3830,13.8680,-0.1199,0.980447,False
cold,-0.9434,0.8170,13.9173,-0.3094,0.994435,False
cold,0.0508,-0.4848,13.9743,-0.5285,0.994902,False
