type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,-1.3641,-0.3061,140.4324,-0.1394,0.886028,False
cold,2.2688,0.6128,137.7171,0.2697,0.901728,False
hot,0.3568,-0.1275,142.9674,0.5214,0.903428,False
cold,1.0833,-0.3827,136.9208,0.3897,0.912212,False
hot,-0.5993,0.3830,142.3582,0.4296,0.920437,False
hot,-0.9434,2.2464,142.0518,0.3835,0.926512,False
hot,1.6952,2.0677,142.9984,0.5261,0.926564,False
hot,0.5862,1.7359,141.9634,0.3701,0.931917,False
hot,1.6952,1.3275,142.2191,0.4087,0.934207,False
hot,-1.9377,0.1023,143.4837,0.5992,0.939661,False
hot,-1.6700,0.8680,142.7782,0.4929,0.940274,False
hot,0.0508,-0.4848,143.0092,0.5277,0.946310,False
hot,-0.3698,1.3275,142.2292,0.4102,0.948903,False
cold,0.2420,0.6894,138.7097,0.1202,0.960796,False
cold,-0.2933,1.9911,141.2667,-0.2651,0.962375,False
cold,-1.0199,0.7659,140.9453,-0.2167,0.966464,False
cold,-2.5495,-0.2806,140.0234,-0.0778,0.969711,False
hot,1.2745,-1.0974,142.4684,0.4462,0.975291,False
cold,-1.5553,-1.3527,135.5156,0.6015,0.981102,False
