type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,0.2803,-1.1229,7.0282,1.5123,0.636386,False
cold,1.1216,-1.0974,3.4889,0.9862,0.777461,False
hot,-1.9759,-0.9953,6.1508,0.8929,0.788042,False
hot,-1.3258,1.2509,5.5131,0.4428,0.810923,False
hot,2.0776,1.1743,5.4025,0.3646,0.858822,False
cold,-2.7407,-1.3016,4.4171,0.3310,0.873098,False
hot,-0.2169,0.1533,5.6976,0.5730,0.885979,False
cold,-0.1404,-0.5359,4.2099,0.4772,0.915735,False
hot,2.0393,1.1743,5.4025,0.3646,0.917571,False
cold,0.2803,0.6383,4.9943,-0.0765,0.922363,False
hot,-0.6757,1.8380,5.4686,0.4113,0.922806,False
cold,-2.2818,-0.1275,4.6421,0.1722,0.936779,False
cold,-1.3641,-0.5103,4.5766,0.2183,0.942518,False
hot,-0.6757,-0.8932,5.4339,0.3868,0.963618,False
hot,-0.1786,-1.0464,7.0535,0.0000,1.000000,False
