type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-0.0257,0.7659,1479.2052,1.4428,0.852792,False
cold,0.8156,-0.8932,1459.5159,1.6427,0.876525,False
hot,0.7392,2.0422,1477.6932,1.2059,0.895587,False
hot,2.0011,1.1233,1478.4446,1.3236,0.906594,False
hot,-1.0581,0.4086,1478.0389,1.2601,0.907906,False
cold,-1.3641,-0.9443,1456.4412,2.1246,0.924504,False
cold,-2.2054,1.1743,1469.9171,0.0127,0.928248,False
hot,-0.4081,1.6338,1478.5708,1.3434,0.928856,False
hot,1.3510,1.7359,1477.7224,1.2105,0.931756,False
cold,0.7392,1.2509,1473.1622,-0.4958,0.964140,False
hot,-2.2054,-0.6380,1463.4292,-1.0295,0.975190,False
