type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,-2.7790,-0.3827,-0.0022,0.1744,0.000000,True
cold,-1.0581,0.5617,-0.0007,0.1098,0.000000,True
cold,-0.4845,1.5317,-0.0006,0.1070,0.000000,True
cold,0.0891,-0.1019,-0.0006,0.1081,0.000000,True
cold,1.0451,2.1698,-0.0005,0.1024,0.000000,True
hot,-2.1671,-1.1995,0.0045,0.1027,0.000311,True
cold,1.8864,1.1233,-0.0003,0.0942,0.001140,True
hot,0.3568,-0.7145,0.0034,0.0560,0.120432,False
hot,-2.1671,0.8680,0.0021,0.0028,0.923148,False
hot,1.0833,1.4296,0.0018,-0.0108,0.986303,False
hot,-0.1404,0.5617,0.0017,-0.0154,0.995914,False
