type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-1.7465,0.5107,9.1686,0.6950,0.000000,True
hot,-1.4023,1.3275,9.1652,0.5780,0.000000,True
hot,0.2803,-0.5869,9.1617,0.4555,0.000000,True
hot,0.8539,0.2809,9.1724,0.8314,0.000000,True
hot,1.4657,1.2764,9.1736,0.8707,0.000000,True
cold,-2.7407,-0.4338,9.1266,0.7798,0.000000,True
cold,-1.4023,-0.5103,9.1255,0.8156,0.000000,True
cold,0.0508,-1.4803,9.0818,2.3516,0.000000,True
hot,-2.0524,-1.1229,9.1518,0.1078,0.002776,True
cold,-0.8287,0.7915,9.1495,-0.0248,0.994627,False
cold,0.5097,0.9446,9.1608,-0.4223,1.000000,False
