type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,1.0451,-0.9953,15.2559,1.9260,0.000000,True
hot,-2.3583,-1.4293,14.8559,0.9981,0.115016,False
cold,0.2803,-1.2506,14.0683,0.8288,0.253434,False
hot,0.0126,-0.5103,14.7731,0.8062,0.269024,False
cold,1.3892,-0.0509,14.0997,0.7561,0.275577,False
cold,0.2803,0.8425,14.0199,0.9410,0.286840,False
cold,-1.3258,1.4296,14.0870,0.7854,0.328129,False
cold,-2.0906,-0.7145,14.1786,0.5730,0.411238,False
cold,2.0776,0.8680,14.1570,0.6230,0.512767,False
cold,1.2363,1.3020,14.2485,0.4108,0.683322,False
cold,-1.8230,0.5107,14.2966,0.2992,0.753192,False
hot,-1.4023,-0.6890,14.5794,0.3568,0.755955,False
hot,-2.2818,-0.0764,14.5750,0.3467,0.756684,False
hot,1.6569,2.2209,14.5262,0.2333,0.785518,False
hot,-0.5228,1.1743,14.4781,0.1218,0.893339,False
hot,-0.8287,0.3575,14.4123,-0.0308,0.930892,False
hot,1.1216,0.6383,14.4290,0.0080,0.956176,False
hot,0.5097,-0.7401,14.9309,0.0000,1.000000,False
cold,-0.2169,-1.0719,14.0353,0.0000,1.000000,False
