type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-1.6700,0.7149,29.5629,1.3824,0.026489,True
hot,-0.5228,0.0257,29.3748,0.9808,0.152530,False
hot,-2.3583,-0.9443,29.3643,0.9585,0.190853,False
hot,0.2420,1.6593,29.2568,0.7289,0.411072,False
cold,1.7717,1.9146,28.6759,0.5114,0.558996,False
cold,0.4332,-0.2040,28.6883,0.4849,0.577266,False
hot,1.8481,0.7404,29.1180,0.4326,0.671457,False
cold,-1.3258,-1.0974,28.7535,0.3457,0.854576,False
hot,1.3892,-0.6890,28.9740,0.1252,0.877221,False
cold,-2.6260,0.1023,28.8593,0.1197,0.918006,False
cold,-0.8287,0.7404,28.9091,0.0134,0.948369,False
hot,0.2803,-0.6380,28.7859,-0.2765,0.973901,False
