type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-2.4698,-1.1418,0.1573,0.7960,0.000000,True
hot,-0.8954,-0.0179,0.1523,0.6143,0.000000,True
hot,-0.0009,1.2038,0.1611,0.9354,0.000000,True
hot,0.1422,-1.2151,0.1607,0.9208,0.000000,True
hot,0.7863,0.0310,0.1589,0.8547,0.000000,True
hot,1.7524,1.7413,0.1586,0.8431,0.000000,True
cold,2.3607,1.0083,0.1316,0.1374,0.000000,True
cold,1.2872,-0.8975,0.1330,0.0855,0.017360,True
cold,-1.3248,1.4481,0.1332,0.0779,0.038396,True
cold,1.7524,-0.4088,0.1333,0.0745,0.054593,False
cold,0.0349,0.3242,0.1336,0.0631,0.137112,False
cold,-1.0386,-1.2151,0.1351,0.0101,0.892344,False
