type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,1.2872,-0.6287,13.0016,2.9205,0.000000,True
hot,-0.2514,1.3748,14.9507,1.6187,0.003582,True
hot,1.8597,0.5197,14.8035,1.2761,0.033201,True
hot,0.7147,-0.0668,14.7445,1.1386,0.046348,True
cold,-2.2909,-1.4839,13.8784,0.8786,0.160479,False
hot,1.0010,1.7169,14.6214,0.8519,0.201580,False
cold,-1.2890,1.0816,13.9752,0.6530,0.335153,False
hot,-2.4698,-0.5066,14.4375,0.4235,0.633964,False
hot,-2.1120,-0.1645,14.4151,0.3715,0.665562,False
hot,0.4285,-1.5816,14.3602,0.2435,0.800239,False
cold,-0.3587,-0.4577,14.2719,-0.0380,0.909705,False
cold,1.3946,1.0328,14.4854,-0.5351,0.999402,False
