type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,1.2872,-0.6043,130.0496,2.9047,0.744430,False
hot,0.8221,0.1043,146.5215,1.1874,0.793647,False
hot,1.8597,0.5441,147.0722,1.3242,0.823835,False
cold,-2.2193,-1.5083,136.6335,1.2691,0.875934,False
hot,2.1102,1.5947,144.6640,0.7260,0.891471,False
hot,0.9294,1.2771,145.8268,1.0149,0.909995,False
cold,-1.2890,1.1794,138.2720,0.8620,0.925523,False
hot,-0.3229,1.2771,147.4786,1.4252,0.927017,False
cold,-0.4303,-0.5799,141.6984,0.0108,0.928890,False
cold,1.3588,0.9839,144.4306,-0.6680,0.956705,False
hot,-1.9689,-0.0912,143.5254,0.4431,0.965910,False
cold,1.7524,1.4726,144.5465,-0.6968,0.984410,False
