type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,-0.6092,1.8879,10.0237,1.9604,0.560980,False
hot,1.8955,1.4481,15.2930,1.4420,0.642446,False
hot,1.1441,-0.2378,15.3163,1.4570,0.669744,False
cold,0.7147,1.4970,11.5906,0.9487,0.768368,False
hot,1.3230,0.6907,14.4311,0.8854,0.781629,False
cold,-1.2890,-0.7020,11.5309,0.9873,0.816520,False
cold,0.7863,-1.0685,12.0647,0.6426,0.839957,False
hot,-1.3248,0.4952,14.2909,0.7949,0.849629,False
cold,-2.0047,-1.0197,11.7229,0.8633,0.851403,False
hot,0.1065,0.8617,13.8286,0.4964,0.897124,False
hot,-0.0367,0.1043,13.7852,0.4684,0.897456,False
cold,2.1818,0.5685,12.5018,0.3603,0.905182,False
cold,-0.5018,0.6174,12.8716,0.1216,0.965769,False
