type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,-0.7881,-0.9708,1490.5367,-0.4727,0.882057,False
hot,2.0387,1.1549,1492.7665,0.6593,0.889288,False
hot,-1.0743,-0.7509,1491.6646,0.5671,0.900151,False
hot,1.0726,1.3993,1491.2389,0.5315,0.911668,False
cold,1.3946,1.0328,1490.4194,-0.4629,0.916536,False
cold,0.0707,0.4464,1488.7620,-0.3242,0.924237,False
cold,-1.6826,0.7640,1484.4064,0.0403,0.940792,False
hot,0.1422,-0.7753,1491.5613,0.5585,0.941963,False
cold,-0.3587,-0.3844,1489.2089,-0.3616,0.943211,False
cold,-0.2514,1.2527,1486.7007,-0.1517,0.946475,False
cold,-2.5772,-0.4088,1483.3785,0.1263,0.950210,False
hot,-0.9312,1.3748,1494.7931,0.8289,0.951942,False
hot,-0.8596,-0.0423,1490.3458,0.4568,0.958733,False
hot,-0.2156,-1.0930,1492.1765,0.6100,0.973361,False
hot,-2.0047,-0.9952,1494.7279,0.8235,0.974268,False
