type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,-1.9331,-0.7998,-0.0011,0.6006,0.000000,True
cold,-1.0386,-1.0930,-0.0009,0.5932,0.000000,True
cold,-0.7165,-0.0423,-0.0011,0.5990,0.000000,True
cold,-0.3945,1.4237,-0.0004,0.5718,0.000000,True
cold,0.3569,-0.8242,-0.0043,0.7324,0.000000,True
cold,0.7505,1.4481,-0.0021,0.6412,0.000000,True
cold,0.8221,0.2020,-0.0050,0.7588,0.000000,True
cold,2.0744,1.3748,-0.0055,0.7788,0.000000,True
hot,1.7524,-0.8731,0.0140,0.0150,0.775532,False
hot,-0.0725,-0.1156,0.0008,-0.5245,1.000000,False
hot,-0.0725,0.7640,0.0010,-0.5160,1.000000,False
hot,1.2157,1.1305,0.0000,-0.5540,1.000000,False
