type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-0.2514,1.4481,9.2012,0.6911,0.000000,True
hot,1.1441,1.8146,9.1946,0.4315,0.000000,True
hot,1.1799,-0.1401,9.1918,0.3188,0.000000,True
hot,2.0744,1.1549,9.1950,0.4480,0.000000,True
cold,-2.2193,-0.6287,9.1773,0.2555,0.000000,True
cold,-1.0028,-1.5572,9.1606,0.9203,0.000000,True
cold,-0.9670,-0.0912,9.1784,0.2145,0.000000,True
cold,0.5000,0.7151,9.1786,0.2046,0.000000,True
hot,-0.1082,0.0310,9.1850,0.0474,0.206285,False
hot,-2.0047,0.5441,9.1840,0.0079,0.872108,False
hot,-2.0047,0.5197,9.1840,0.0079,0.887368,False
cold,-2.6845,1.3504,9.1838,-0.0001,0.887710,False
hot,2.5754,-1.5572,9.1838,0.0000,0.899206,False
hot,2.5754,-1.5328,9.1838,0.0000,0.905034,False
cold,-2.6845,1.7658,9.1838,-0.0000,0.906940,False
cold,-2.6845,1.6192,9.1838,-0.0000,0.920826,False
cold,-2.6845,1.7413,9.1838,-0.0000,0.921475,False
cold,-2.6845,1.6680,9.1838,-0.0000,0.924363,False
cold,-2.6845,1.8146,9.1838,-0.0000,0.925745,False
cold,-2.6487,1.8146,9.1838,-0.0000,0.929241,False
cold,-2.6845,1.8635,9.1838,-0.0000,0.934902,False
cold,-2.6487,1.8635,9.1838,-0.0000,0.936523,False
cold,-2.6845,1.6436,9.1838,-0.0000,0.936570,False
cold,-2.6845,1.7169,9.1838,-0.0000,0.938383,False
cold,-2.6845,1.8391,9.1838,-0.0000,0.953293,False
cold,-2.6845,1.7902,9.1838,-0.0000,0.958800,False
cold,-2.6845,1.6925,9.1838,-0.0000,0.961655,False
cold,-2.6487,1.8391,9.1838,-0.0000,0.995389,False
