type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,2.5754,1.4970,13.6515,0.5274,0.698063,False
hot,-0.6092,0.6174,13.8303,0.7507,0.730836,False
cold,-1.4322,0.6907,12.5968,0.7900,0.762321,False
hot,1.1441,0.5197,13.5469,0.3967,0.766636,False
hot,0.5358,1.0083,13.7828,0.6914,0.818202,False
hot,-1.8973,-0.7265,13.5728,0.4291,0.818613,False
hot,-0.0725,-0.2622,13.4773,0.3098,0.835164,False
cold,1.8240,-0.0912,13.0343,0.2434,0.856817,False
hot,1.3588,1.3260,13.6175,0.4849,0.880647,False
hot,1.1441,-0.8975,13.7073,0.5970,0.893840,False
hot,-1.0743,-0.9219,13.2896,0.0753,0.907218,False
hot,-1.8258,1.2527,13.5141,0.3558,0.920130,False
cold,-1.2532,-0.7020,13.2638,-0.0432,0.937062,False
cold,2.0744,1.1549,13.3236,-0.1178,0.956749,False
cold,-2.5056,-0.1645,12.9974,0.2896,0.967091,False
cold,0.8936,1.7902,13.3314,-0.1275,0.980072,False
cold,-0.2156,0.0065,13.4281,-0.2484,0.981888,False
hot,-0.6092,1.1794,13.8361,0.0000,1.000000,False
cold,-1.1459,1.1305,12.2828,0.0000,1.000000,False
cold,-0.1440,1.2771,12.4744,0.0000,1.000000,False
