type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-0.4303,1.2527,28.3810,1.1152,0.000000,True
cold,-0.2514,-0.8731,27.7904,1.4345,0.000000,True
cold,0.9652,-0.3844,27.7502,1.6079,0.000000,True
cold,1.2872,1.3504,27.8123,1.3399,0.000000,True
cold,2.3607,1.6436,27.8516,1.1702,0.000000,True
hot,-2.3267,-0.7998,28.3269,0.8816,0.002114,True
hot,-1.2890,0.3242,28.3178,0.8426,0.002979,True
cold,0.0707,0.3975,27.9763,0.6319,0.046102,True
cold,-1.0386,1.9612,28.0363,0.3731,0.340224,False
hot,-0.1798,-0.2134,28.1973,0.3222,0.619727,False
hot,2.2533,0.6174,28.1348,0.0522,0.892489,False
hot,0.7863,0.5197,28.1085,-0.0611,0.976510,False
