type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-0.9147,1.6623,0.1710,0.3176,0.000000,True
hot,-0.1884,1.8596,0.1657,0.1302,0.000000,True
hot,-0.1106,-1.0991,0.1754,0.4706,0.000000,True
hot,1.3161,-1.6251,0.1663,0.1536,0.000000,True
hot,1.5755,-0.1129,0.1770,0.5267,0.000000,True
hot,1.5755,0.4788,0.1760,0.4908,0.000000,True
cold,-1.1222,-0.8690,0.1323,1.0331,0.000000,True
cold,-0.5775,0.7090,0.1523,0.3363,0.000000,True
cold,0.6936,1.0377,0.1316,1.0567,0.000000,True
cold,0.7973,-0.9348,0.1317,1.0528,0.000000,True
hot,-1.2000,0.0515,0.1620,0.0025,0.909570,False
