type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-0.4996,-0.4417,9.7483,0.7315,0.000000,True
hot,-0.4737,-0.4417,9.7483,0.7315,0.000000,True
hot,-0.4737,0.6103,9.8099,1.1714,0.000000,True
hot,0.3045,0.8733,9.7559,0.7863,0.000000,True
hot,1.5755,0.4460,10.0042,2.5578,0.000000,True
cold,0.7454,0.4131,9.5564,0.6375,0.000000,True
cold,1.7830,-0.6389,9.4497,1.3987,0.000000,True
cold,2.0683,-2.0196,9.4129,1.6613,0.000000,True
hot,1.0567,-0.7046,9.7252,0.5666,0.000007,True
hot,-1.3038,-0.9348,9.7294,0.5970,0.000266,True
hot,-1.1741,-0.0143,9.7261,0.5731,0.001426,True
hot,-0.9147,1.8924,9.7179,0.5147,0.003183,True
cold,0.5639,-1.0005,9.5764,0.4947,0.007866,True
cold,-0.4996,-1.1649,9.6045,0.2942,0.165690,False
hot,0.0191,-1.4279,9.6772,0.2246,0.347599,False
cold,-0.0587,1.0706,9.6317,0.1003,0.815987,False
cold,-0.1106,0.0515,9.6364,0.0668,0.869395,False
cold,-0.8887,0.9391,9.6902,-0.3174,1.000000,False
cold,-0.7331,0.0843,9.6851,-0.2809,1.000000,False
