type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,0.9529,-0.5403,133.7777,0.2237,0.895020,False
hot,1.3161,2.0897,138.5677,0.9245,0.909545,False
cold,0.4601,-0.3759,130.6543,0.2333,0.911059,False
hot,1.5495,0.2816,139.6772,1.0868,0.911302,False
cold,-1.2000,-1.4936,128.1211,0.6040,0.911442,False
hot,-0.4737,-0.4088,134.1215,0.2740,0.917719,False
cold,0.8233,0.4460,127.6712,0.6698,0.920011,False
hot,0.1748,-0.5403,133.0614,0.1189,0.926898,False
hot,-1.2259,-0.5732,132.8937,0.0943,0.932757,False
cold,-0.0846,0.1172,131.5371,0.1042,0.936779,False
cold,1.9905,-2.0196,129.0189,0.4726,0.938481,False
cold,-0.6293,1.2678,132.3648,-0.0169,0.938702,False
hot,-1.0184,0.9062,133.0480,0.1169,0.940065,False
cold,-1.3556,1.7281,132.0544,0.0285,0.941519,False
cold,-0.0846,-0.6389,131.9323,0.0464,0.942380,False
cold,1.6014,-0.5403,129.5884,0.3893,0.943057,False
hot,0.3563,0.5775,134.4727,0.3253,0.943744,False
cold,-0.6293,-0.0143,132.2808,-0.0046,0.944256,False
hot,-1.2000,-0.0472,132.8945,0.0944,0.944720,False
hot,-0.3700,0.5446,134.7552,0.3667,0.947814,False
cold,-0.0327,1.3993,131.6654,0.0854,0.950796,False
cold,0.9011,-2.2169,131.0132,0.1808,0.954554,False
hot,1.1864,-1.2964,132.4384,0.0277,0.957617,False
cold,0.6417,-0.9348,130.5392,0.2502,0.970551,False
cold,-1.3556,1.1363,132.0472,0.0295,0.973196,False
cold,0.0191,0.8076,131.5286,0.1054,0.978292,False
hot,-0.4737,-1.0663,134.4411,0.3207,0.978441,False
