type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-1.2259,-1.1649,11.9819,4.0414,0.011612,True
cold,-0.5256,-0.9348,5.6628,0.9655,0.582614,False
cold,-0.5515,-0.6060,5.9218,0.7602,0.681175,False
cold,1.6533,-1.9868,6.0580,0.6523,0.801116,False
cold,-0.4996,0.4460,6.5478,0.2642,0.890216,False
hot,-0.9406,-0.4745,6.3985,-0.3826,0.890706,False
cold,1.0567,0.8733,6.5902,0.2306,0.893818,False
hot,1.7052,1.5637,7.0916,0.1666,0.913767,False
cold,0.9789,1.7281,6.6816,0.1582,0.928524,False
cold,-0.8369,1.6294,6.6600,0.1753,0.932595,False
cold,-0.9406,1.0706,6.6617,0.1740,0.934102,False
hot,-1.4075,1.4651,6.7887,-0.0734,0.939206,False
cold,0.4082,0.6103,6.5771,0.2410,0.939483,False
hot,0.0451,0.1501,6.6754,-0.1632,0.948775,False
cold,0.0451,1.4651,6.5676,0.2486,0.950168,False
hot,1.5236,-1.1649,6.4994,-0.3026,0.957034,False
hot,-0.6293,0.0186,6.6730,-0.1650,0.985078,False
hot,-0.4996,1.3007,6.7271,-0.1222,0.989001,False
