type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,-1.1222,-1.0005,1584.7676,1.9737,0.227511,False
hot,0.6676,0.4788,1588.4637,1.4957,0.375928,False
cold,-1.1481,-0.3102,1585.2015,1.5664,0.415281,False
cold,0.9270,-1.5923,1585.5752,1.2157,0.572897,False
hot,-0.7850,0.7090,1588.1261,1.1788,0.600266,False
hot,-1.1741,1.7609,1588.2301,1.2764,0.679942,False
hot,0.9011,1.5637,1587.8156,0.8873,0.752212,False
cold,1.9646,-0.7375,1586.1708,0.6566,0.779614,False
cold,1.9905,-0.7375,1586.1708,0.6566,0.845084,False
hot,1.2123,-0.4088,1587.5380,0.6267,0.852001,False
hot,-0.2143,-0.2115,1587.0093,0.1305,0.853730,False
cold,-0.2143,2.2212,1586.6812,0.1775,0.893028,False
hot,1.5236,-2.4470,1587.1635,0.2752,0.893078,False
hot,1.4977,-2.4470,1587.1635,0.2752,0.913580,False
cold,0.4082,-0.3102,1586.7996,0.0664,0.973605,False
cold,0.4601,1.1692,1587.3188,-0.4210,0.983286,False
cold,0.4342,1.1692,1587.3188,-0.4210,0.986090,False
hot,0.2526,-0.7375,1587.0233,0.1436,0.990451,False
cold,0.4601,1.1363,1587.3188,-0.4210,0.992446,False
cold,0.4342,1.1363,1587.3188,-0.4210,0.993731,False
