type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-1.3556,-1.0991,8.9560,0.9727,0.000000,True
cold,-1.4594,0.8405,8.9031,1.1070,0.000000,True
cold,-0.5515,-0.5403,8.9120,0.7557,0.000000,True
cold,-0.1624,0.6432,8.9150,0.6397,0.000000,True
cold,0.7195,-1.2635,8.9098,0.8453,0.000000,True
cold,1.4458,-0.8361,8.9090,0.8763,0.000000,True
cold,1.4458,-0.8033,8.9090,0.8763,0.000000,True
cold,1.7052,-2.1183,8.8998,1.2366,0.000000,True
cold,0.6936,2.2212,8.9300,0.0507,0.206556,False
hot,1.6792,1.8924,8.9315,0.0098,0.848120,False
hot,1.6533,1.8924,8.9315,0.0098,0.883491,False
hot,0.0191,-0.1129,8.9196,-0.4590,1.000000,False
hot,0.7195,0.1830,8.9217,-0.3743,1.000000,False
