type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-1.3556,1.3336,29.7681,1.0297,0.000000,True
hot,-0.9925,0.6432,29.7858,1.2430,0.000000,True
hot,-0.5256,-1.0334,29.8378,1.8685,0.000000,True
hot,1.8608,-2.4799,29.8066,1.4927,0.000000,True
cold,-1.4335,-0.9676,29.4210,3.1454,0.000000,True
cold,-1.2000,-0.0143,29.6517,0.3703,0.000000,True
cold,0.0710,2.1226,29.4909,2.3051,0.000000,True
cold,0.1748,-1.8224,29.6384,0.5307,0.000000,True
cold,0.3563,-0.1129,29.6457,0.4432,0.000000,True
cold,1.1605,1.8596,29.5605,1.4677,0.000000,True
cold,1.9386,-0.1787,29.6421,0.4859,0.000000,True
hot,1.1086,0.2487,29.7007,0.2192,0.083367,False
