type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-1.7008,2.4894,0.1826,0.3908,0.000000,True
hot,-0.8690,0.7926,0.1818,0.3624,0.000000,True
hot,-0.6158,-1.1587,0.1912,0.6808,0.000000,True
hot,0.0713,3.0409,0.1765,0.1858,0.000000,True
hot,0.6500,-0.0982,0.1766,0.1892,0.000000,True
hot,2.0243,1.3016,0.1913,0.6846,0.000000,True
hot,2.5668,-0.7345,0.1855,0.4902,0.000000,True
cold,-1.2307,1.5137,0.1554,0.5269,0.000000,True
cold,-0.8328,2.7863,0.1501,0.7042,0.000000,True
cold,0.0352,-0.5648,0.1561,0.5025,0.000000,True
cold,1.1563,1.8955,0.1331,1.2783,0.000000,True
cold,1.5903,-1.3708,0.1349,1.2184,0.000000,True
cold,1.5903,0.1987,0.1440,0.9096,0.000000,True
cold,3.1455,-0.0982,0.1542,0.5673,0.000000,True
cold,3.1816,-2.8131,0.1479,0.7788,0.000000,True
hot,-0.4350,1.9804,0.1731,0.0697,0.109359,False
