type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,0.3968,-0.8618,10.2712,2.4152,0.000000,True
cold,-0.2903,-0.5648,8.2777,1.5967,0.004205,True
hot,-0.9413,-0.6497,9.8310,1.5293,0.014136,True
cold,-1.4115,0.1987,8.5461,1.0565,0.128706,False
cold,0.6138,0.1563,8.5949,0.9583,0.188231,False
hot,-0.0372,-0.0134,9.2295,0.3188,0.498287,False
cold,2.0605,0.4532,8.9187,0.3067,0.780572,False
hot,2.7838,0.1987,9.2345,0.3290,0.791941,False
hot,-1.5923,2.6167,9.2121,0.2837,0.799533,False
hot,-0.4712,1.2592,9.2599,0.3800,0.806234,False
hot,-0.3627,2.3621,9.1489,0.1567,0.853161,False
cold,2.7838,-2.4737,8.9795,0.1844,0.874745,False
cold,2.6030,-1.8798,8.9801,0.1831,0.877545,False
hot,1.3372,0.4532,9.1381,0.1349,0.894288,False
hot,2.2051,-0.2679,9.1716,0.2023,0.902373,False
cold,2.7115,-0.6921,8.9444,0.2550,0.909713,False
cold,0.2522,2.8712,9.0005,0.1420,0.917884,False
cold,-1.8455,-3.0676,9.0711,0.0000,0.920057,False
cold,-1.7731,-3.1100,9.0711,0.0000,0.927275,False
cold,1.4457,2.1500,9.0462,0.0500,0.931409,False
cold,-1.8093,-3.0676,9.0711,0.0000,0.932708,False
cold,3.4710,3.1257,9.0711,0.0000,0.938902,False
cold,-0.8690,2.0652,9.0748,-0.0074,0.940163,False
hot,2.4583,1.3441,9.0970,0.0523,0.941522,False
cold,0.2883,1.6834,9.0561,0.0302,0.949309,False
cold,-1.8093,-3.1100,9.0711,0.0000,0.953594,False
hot,0.7223,1.9804,9.0902,0.0384,0.960441,False
cold,-1.8455,-3.1100,9.0711,0.0000,0.968855,False
cold,3.4348,3.1257,9.0711,0.0000,0.981394,False
cold,1.4457,1.3016,9.0351,0.0725,0.982293,False
hot,-0.3988,0.1139,9.1065,0.0000,1.000000,False
