type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,-0.2903,-0.5648,107.9660,1.2059,0.726029,False
hot,-0.0010,-0.0558,120.8421,0.2721,0.800822,False
cold,-0.1457,0.5805,115.7272,0.3151,0.843271,False
hot,0.3607,-0.8193,136.8078,2.1047,0.851729,False
hot,-0.3627,0.0715,118.8933,0.0484,0.868206,False
cold,-1.4115,0.1139,110.4058,0.9259,0.903662,False
hot,-0.8690,-0.6921,126.0074,0.8650,0.905269,False
hot,2.2051,-0.2679,119.6506,0.1353,0.909410,False
cold,0.2883,1.5986,117.6875,0.0901,0.909633,False
cold,3.4710,3.1257,118.4720,-0.0000,0.920794,False
cold,3.4348,3.1257,118.4720,-0.0000,0.928887,False
hot,0.3607,1.0471,119.1584,0.0788,0.931120,False
hot,-0.6520,0.4108,118.6320,0.0184,0.933789,False
hot,1.3372,0.3684,118.9779,0.0581,0.935498,False
cold,2.7476,-0.6072,116.4383,0.2334,0.936602,False
hot,-0.5073,1.2592,120.7860,0.2656,0.939668,False
cold,1.4095,2.0652,117.8834,0.0676,0.940293,False
cold,0.2160,2.8288,116.3691,0.2414,0.945378,False
cold,0.5415,0.1987,112.1996,0.7200,0.949902,False
cold,2.0605,0.4108,116.1251,0.2694,0.952658,False
cold,2.7838,-2.4737,116.9864,0.1705,0.954140,False
hot,2.4583,1.2592,119.1820,0.0815,0.959990,False
cold,2.5668,-1.7950,116.9311,0.1769,0.962046,False
hot,-0.3265,2.2349,119.6130,0.1310,0.962407,False
hot,2.7838,0.1987,120.6891,0.2545,0.963310,False
hot,-1.6285,2.7439,120.6436,0.2493,0.978432,False
hot,0.7585,1.9379,118.7092,0.0272,0.981207,False
cold,1.4457,1.2168,117.7694,0.0807,0.983417,False
