type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-0.0372,-0.9042,20.4444,2.9472,0.154651,False
cold,1.6988,0.1563,13.6577,1.8227,0.676082,False
cold,0.2883,0.0290,14.6219,1.1451,0.779466,False
cold,0.7947,2.0652,15.0515,0.8431,0.824787,False
hot,3.2901,-2.3889,17.2336,0.6905,0.853564,False
cold,2.7115,-0.5648,15.8441,0.2861,0.887976,False
cold,-0.7605,2.7863,15.4760,0.5448,0.888996,False
hot,-1.3753,0.9199,16.6428,0.2753,0.891599,False
cold,1.6627,-1.2435,15.4679,0.5504,0.891634,False
cold,-1.4115,0.1139,14.7754,1.0372,0.902684,False
cold,-0.7243,-1.5829,15.6092,0.4512,0.903006,False
hot,-1.4838,1.9804,16.5731,0.2263,0.930169,False
hot,1.5180,1.0895,16.3787,0.0897,0.931308,False
hot,0.1798,1.3441,16.6055,0.2491,0.952586,False
cold,-1.5923,1.4289,16.3270,-0.0533,0.970558,False
hot,-0.5073,-0.3103,20.4967,0.0000,1.000000,False
