type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,1.5542,-0.7345,1528.2550,1.2970,0.744106,False
hot,1.0117,-0.1406,1549.7938,0.2023,0.772062,False
hot,1.8797,-0.9042,1549.2625,0.1653,0.789207,False
cold,2.2775,-1.6253,1517.3735,2.0545,0.809076,False
hot,1.9882,-0.0982,1549.2969,0.1677,0.879336,False
hot,0.4692,0.9623,1553.0294,0.4275,0.897008,False
cold,2.2413,-2.1768,1514.2155,2.2743,0.901049,False
cold,-0.6158,1.9804,1551.4302,-0.3162,0.904629,False
hot,1.1202,1.6834,1551.7334,0.3373,0.904738,False
hot,0.6500,-1.2435,1572.6235,1.7915,0.916562,False
cold,-0.3265,-1.7526,1534.1947,0.8836,0.920221,False
cold,0.2522,-0.6497,1546.7611,0.0088,0.928182,False
hot,-1.1945,2.8712,1552.3369,0.3793,0.932362,False
hot,2.7838,-1.6253,1545.8098,-0.0750,0.932758,False
cold,2.0966,0.5805,1546.9484,-0.0042,0.941820,False
cold,0.1437,1.4713,1551.7557,-0.3389,0.943761,False
cold,2.0966,2.0652,1544.1309,0.1919,0.944469,False
hot,0.2883,1.9379,1552.0906,0.3622,0.944838,False
hot,1.0840,2.6591,1549.9241,0.2114,0.946880,False
hot,-0.3265,1.5137,1552.1010,0.3629,0.947835,False
hot,-0.2542,0.4532,1552.0846,0.3617,0.952234,False
cold,-1.0137,-0.6921,1546.1384,0.0522,0.954172,False
hot,2.7115,0.8774,1552.9312,0.4207,0.956276,False
hot,-1.8093,1.1744,1553.7491,0.4776,0.957811,False
hot,-0.2903,-0.5224,1553.4401,0.4561,0.960354,False
hot,-0.4350,2.4894,1552.1868,0.3689,0.973808,False
cold,-1.2307,2.4046,1551.8713,-0.3469,0.976482,False
hot,-1.0498,0.0290,1553.7795,0.4797,0.987687,False
cold,1.2648,0.8774,1549.6476,-0.1921,0.994178,False
cold,-0.4350,1.0047,1551.8749,-0.3471,0.999610,False
cold,1.5903,-1.4556,1511.7179,0.0000,1.000000,False
