type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-1.4115,0.1139,-0.0422,0.1798,0.000000,True
hot,-0.3265,1.6834,-0.0430,0.1487,0.000000,True
hot,1.8797,1.5562,-0.0422,0.1818,0.000000,True
hot,2.3136,-1.4132,-0.0437,0.1233,0.000000,True
cold,-0.9052,1.1320,-0.0500,0.1327,0.000000,True
cold,-0.7605,2.7863,-0.0584,0.4695,0.000000,True
cold,-0.4350,-0.4800,-0.0695,0.9154,0.000000,True
cold,0.2883,0.6653,-0.0495,0.1117,0.000000,True
cold,1.0117,2.1076,-0.0578,0.4444,0.000000,True
cold,1.6988,0.4108,-0.0610,0.5716,0.000000,True
cold,3.3986,0.2411,-0.0569,0.4072,0.000000,True
hot,0.4330,-0.0982,-0.0445,0.0903,0.001430,True
cold,2.4221,-2.1768,-0.0489,0.0890,0.002675,True
cold,3.2540,-2.0495,-0.0487,0.0804,0.015155,True
hot,2.5306,-0.0134,-0.0454,0.0526,0.174782,False
hot,2.6753,-2.8979,-0.0460,0.0305,0.547240,False
hot,-1.8455,-3.1100,-0.0467,-0.0000,0.939769,False
