type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-0.9052,-0.4800,9.0292,1.2537,0.000000,True
hot,-0.2180,1.2592,9.0194,0.9670,0.000000,True
hot,0.5053,0.1563,9.0631,2.2471,0.000000,True
hot,1.8797,1.3865,9.0084,0.6452,0.000000,True
hot,2.6391,-0.0982,9.0186,0.9426,0.000000,True
hot,2.8923,-1.4132,9.0607,2.1758,0.000000,True
hot,3.1816,-2.8979,8.9957,0.2732,0.000000,True
cold,-1.0498,0.5381,8.9589,0.8044,0.000000,True
cold,-0.3988,-1.4132,8.9615,0.7285,0.000000,True
cold,-0.1818,-0.3952,8.9552,0.9134,0.000000,True
cold,0.1798,2.5318,8.9760,0.3043,0.000000,True
cold,1.0117,1.8955,8.9799,0.1893,0.000000,True
cold,1.2648,-0.7345,8.9651,0.6242,0.000000,True
cold,1.3733,0.4532,8.9785,0.2314,0.000000,True
cold,2.4221,-2.3040,8.9544,0.9363,0.000000,True
cold,3.4348,0.2411,8.9659,0.6003,0.000000,True
hot,-1.5200,-3.1100,8.9864,-0.0000,0.871307,False
cold,3.3625,2.9136,8.9864,-0.0000,0.882141,False
cold,3.4348,3.0833,8.9864,-0.0000,0.896497,False
cold,3.4348,3.1257,8.9864,-0.0000,0.900280,False
cold,3.4710,2.8288,8.9864,-0.0000,0.903102,False
hot,3.4348,3.1257,8.9864,0.0000,0.903950,False
hot,3.4710,3.1257,8.9864,0.0000,0.903958,False
cold,3.4710,3.1257,8.9864,-0.0000,0.904710,False
cold,3.4710,2.9984,8.9864,-0.0000,0.904856,False
hot,-1.5923,-3.0252,8.9864,-0.0000,0.906226,False
cold,-1.7731,-3.1100,8.9864,0.0000,0.906338,False
cold,3.4348,2.7863,8.9864,-0.0000,0.906398,False
cold,3.4348,2.8712,8.9864,-0.0000,0.907244,False
hot,-1.7731,-2.8131,8.9864,-0.0000,0.911224,False
cold,3.4710,2.7863,8.9864,-0.0000,0.911754,False
cold,3.3986,2.9984,8.9864,-0.0000,0.913213,False
cold,3.3986,3.0833,8.9864,-0.0000,0.913997,False
cold,3.4710,2.8712,8.9864,-0.0000,0.914144,False
cold,3.4710,2.7015,8.9864,-0.0000,0.914383,False
cold,-1.8093,-3.0676,8.9864,0.0000,0.915586,False
cold,3.3625,2.9984,8.9864,-0.0000,0.915715,False
cold,3.2901,2.9984,8.9864,-0.0000,0.916164,False
cold,3.2178,3.1257,8.9864,-0.0000,0.917429,False
cold,3.3625,3.0409,8.9864,-0.0000,0.918457,False
cold,3.2901,3.1257,8.9864,-0.0000,0.918471,False
cold,3.4348,3.0409,8.9864,-0.0000,0.918700,False
hot,-1.8093,-2.7707,8.9864,-0.0000,0.919151,False
hot,-1.5562,-3.0676,8.9864,-0.0000,0.920171,False
hot,-1.8455,-3.0676,8.9864,0.0000,0.920700,False
hot,-1.8455,-2.7282,8.9864,-0.0000,0.921000,False
hot,-1.5562,-3.0252,8.9864,-0.0000,0.922286,False
cold,3.3625,3.0833,8.9864,-0.0000,0.922335,False
cold,3.4710,3.0409,8.9864,-0.0000,0.924079,False
cold,3.3986,3.0409,8.9864,-0.0000,0.927290,False
cold,3.3263,3.1257,8.9864,-0.0000,0.928459,False
hot,-1.5923,-3.1100,8.9864,-0.0000,0.928574,False
hot,0.9032,-2.7282,8.9864,0.0002,0.928754,False
hot,-1.8455,-2.8131,8.9864,-0.0000,0.929202,False
cold,3.3986,2.8712,8.9864,-0.0000,0.930298,False
cold,3.3625,2.9560,8.9864,-0.0000,0.932069,False
hot,-1.8093,-3.1100,8.9864,0.0000,0.932607,False
cold,3.3986,2.9136,8.9864,-0.0000,0.932985,False
cold,3.4348,2.9560,8.9864,-0.0000,0.935199,False
cold,3.4348,2.9136,8.9864,-0.0000,0.935993,False
hot,-1.8455,-3.1100,8.9864,0.0000,0.936703,False
hot,-1.8455,-2.7707,8.9864,-0.0000,0.938988,False
hot,-1.6285,-2.9828,8.9864,-0.0000,0.939555,False
cold,3.2901,3.0409,8.9864,-0.0000,0.940374,False
cold,3.3263,2.9984,8.9864,-0.0000,0.940960,False
hot,-1.5923,-3.0676,8.9864,-0.0000,0.941054,False
hot,3.4710,3.0833,8.9864,0.0000,0.942166,False
cold,3.4710,2.9560,8.9864,-0.0000,0.942887,False
cold,3.4710,3.0833,8.9864,-0.0000,0.942977,False
hot,0.9032,-2.6858,8.9864,0.0002,0.944491,False
cold,3.4710,2.7439,8.9864,-0.0000,0.944745,False
cold,3.2901,3.0833,8.9864,-0.0000,0.945340,False
cold,3.4348,2.8288,8.9864,-0.0000,0.947935,False
cold,3.4710,2.9136,8.9864,-0.0000,0.948154,False
cold,3.3263,2.9560,8.9864,-0.0000,0.948323,False
cold,-1.8455,-3.0252,8.9864,0.0000,0.948495,False
hot,-1.6646,-2.9403,8.9864,-0.0000,0.950828,False
cold,3.3986,2.9560,8.9864,-0.0000,0.952798,False
cold,3.3625,3.1257,8.9864,-0.0000,0.954029,False
hot,-1.7370,-2.8555,8.9864,-0.0000,0.954162,False
cold,3.2540,3.1257,8.9864,-0.0000,0.956086,False
hot,-1.7008,-2.8979,8.9864,-0.0000,0.958126,False
cold,3.3986,2.8288,8.9864,-0.0000,0.958548,False
cold,3.2540,3.0833,8.9864,-0.0000,0.962711,False
cold,3.4348,2.9984,8.9864,-0.0000,0.963093,False
cold,3.3263,3.0409,8.9864,-0.0000,0.965714,False
cold,3.3263,3.0833,8.9864,-0.0000,0.967602,False
cold,3.3986,3.1257,8.9864,-0.0000,0.968784,False
hot,-1.5200,-3.0676,8.9864,-0.0000,0.969254,False
hot,-1.5562,-3.1100,8.9864,-0.0000,0.972141,False
hot,-1.4838,-3.1100,8.9864,-0.0000,0.973033,False
hot,-1.8093,-2.8131,8.9864,-0.0000,0.985650,False
