type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-0.8328,2.4046,27.0757,1.9736,0.000000,True
hot,-0.6158,-0.9890,27.0610,1.4806,0.000000,True
hot,1.9520,1.0047,27.0349,0.6099,0.000000,True
hot,3.0731,-0.1406,27.0363,0.6553,0.000000,True
cold,-1.3392,0.4108,26.9940,0.7579,0.000000,True
cold,-1.1222,-0.2255,26.9951,0.7185,0.000000,True
cold,0.2883,-1.0314,26.9452,2.3885,0.000000,True
cold,1.6265,-1.0739,26.9993,0.5809,0.000000,True
cold,2.4583,-2.3889,26.9916,0.8377,0.000000,True
cold,3.3986,3.0833,27.0166,0.0000,0.880844,False
cold,3.4710,3.0409,27.0166,0.0000,0.892152,False
cold,3.4348,3.0833,27.0166,0.0000,0.899898,False
cold,-1.3392,-3.1100,27.0166,-0.0000,0.912709,False
cold,3.0370,3.1257,27.0166,-0.0000,0.913962,False
cold,3.3986,2.6591,27.0166,-0.0000,0.915822,False
cold,3.4710,2.5742,27.0166,-0.0000,0.918567,False
cold,3.3625,3.0409,27.0166,0.0000,0.921131,False
cold,3.2901,3.1257,27.0166,0.0000,0.926422,False
cold,-1.8455,-2.9828,27.0166,0.0000,0.928454,False
cold,-1.6285,-3.1100,27.0166,0.0000,0.929273,False
cold,3.4710,2.6167,27.0166,-0.0000,0.929972,False
cold,3.3625,3.1257,27.0166,0.0000,0.930060,False
cold,3.4348,2.6167,27.0166,-0.0000,0.930671,False
cold,3.0731,3.1257,27.0166,-0.0000,0.931132,False
cold,-1.7731,-2.9828,27.0166,0.0000,0.931215,False
cold,-1.8093,-2.9828,27.0166,0.0000,0.934212,False
cold,-1.8455,-3.1100,27.0166,0.0000,0.934416,False
cold,3.3263,3.1257,27.0166,0.0000,0.937139,False
cold,3.3263,3.0833,27.0166,0.0000,0.937625,False
cold,-1.8093,-3.0676,27.0166,0.0000,0.937869,False
cold,3.4710,2.9984,27.0166,0.0000,0.940315,False
cold,-1.6646,-3.1100,27.0166,0.0000,0.940567,False
cold,-1.3753,-3.1100,27.0166,-0.0000,0.941497,False
cold,-1.3030,-3.1100,27.0166,-0.0000,0.941965,False
cold,-1.8455,-2.9403,27.0166,0.0000,0.942384,False
cold,-1.8093,-2.9403,27.0166,0.0000,0.943452,False
cold,-1.8093,-3.1100,27.0166,0.0000,0.943486,False
cold,3.4348,3.0409,27.0166,0.0000,0.944625,False
cold,3.4348,3.1257,27.0166,0.0000,0.944812,False
cold,3.4710,3.1257,27.0166,0.0000,0.945434,False
cold,3.3625,3.0833,27.0166,0.0000,0.946610,False
cold,-1.7731,-3.0676,27.0166,0.0000,0.947201,False
cold,-1.8455,-2.6858,27.0166,-0.0000,0.947701,False
cold,3.0008,3.1257,27.0166,-0.0000,0.950167,False
cold,3.4710,2.6591,27.0166,-0.0000,0.950646,False
cold,3.4348,2.6591,27.0166,-0.0000,0.951730,False
cold,3.3986,2.9984,27.0166,0.0000,0.952292,False
cold,-1.7731,-3.1100,27.0166,0.0000,0.953779,False
cold,3.0731,3.0833,27.0166,-0.0000,0.953862,False
cold,3.3986,3.0409,27.0166,0.0000,0.954577,False
cold,3.4348,2.9560,27.0166,0.0000,0.955073,False
cold,-1.7008,-3.0676,27.0166,0.0000,0.955624,False
cold,-1.7370,-3.0676,27.0166,0.0000,0.957467,False
cold,-1.3753,-3.0676,27.0166,-0.0000,0.958549,False
cold,-1.7008,-3.1100,27.0166,0.0000,0.960438,False
cold,-1.8455,-3.0252,27.0166,0.0000,0.963045,False
cold,3.3986,3.1257,27.0166,0.0000,0.963281,False
cold,-1.8455,-3.0676,27.0166,0.0000,0.965877,False
cold,3.4710,2.9136,27.0166,0.0000,0.965998,False
cold,-1.8093,-3.0252,27.0166,0.0000,0.967942,False
cold,-1.7370,-3.0252,27.0166,0.0000,0.970108,False
cold,-1.4115,-3.0676,27.0166,-0.0000,0.971830,False
cold,3.4348,2.9984,27.0166,0.0000,0.973463,False
cold,-1.7370,-3.1100,27.0166,0.0000,0.975089,False
cold,3.4710,2.9560,27.0166,0.0000,0.977653,False
cold,3.4710,3.0833,27.0166,0.0000,0.979370,False
cold,-1.7731,-3.0252,27.0166,0.0000,0.984780,False
cold,-1.4115,-3.1100,27.0166,-0.0000,0.999849,False
