type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-0.4378,-1.6645,13.0594,3.4417,0.000000,True
hot,0.6604,0.5366,13.0024,0.7729,0.000000,True
cold,-0.7481,0.3991,12.9800,0.2782,0.000000,True
cold,1.0185,-0.5089,12.9731,0.6012,0.000000,True
cold,-1.2255,-0.8666,12.9841,0.0841,0.000036,True
hot,2.2837,-1.8021,12.9859,-0.0000,0.941797,False
hot,2.2837,-1.8296,12.9859,-0.0000,0.942034,False
hot,2.2598,-1.8571,12.9859,-0.0000,0.942653,False
hot,2.2598,-1.8846,12.9859,-0.0000,0.943197,False
hot,2.2837,-1.8846,12.9859,-0.0000,0.943498,False
hot,2.2837,-1.8571,12.9859,-0.0000,0.943546,False
