type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-2.2510,-0.8563,0.1573,1.2157,0.000000,True
hot,-2.0054,1.4331,0.1429,0.4858,0.000000,True
hot,-0.7469,-1.5750,0.1489,0.7895,0.000000,True
hot,-0.5628,0.0754,0.1369,0.1863,0.000000,True
hot,0.5730,1.2201,0.1455,0.6188,0.000000,True
hot,1.0334,0.3949,0.1523,0.9626,0.000000,True
hot,1.0948,-0.8031,0.1418,0.4311,0.000000,True
hot,1.8314,-0.6966,0.1435,0.5203,0.000000,True
cold,-1.2994,-0.7232,0.1176,0.7920,0.000000,True
cold,-0.9925,1.4331,0.1034,1.5086,0.000000,True
cold,-0.0103,1.9921,0.1173,0.8049,0.000000,True
cold,0.1125,0.3949,0.1214,0.5983,0.000000,True
cold,0.1739,-0.4570,0.1180,0.7700,0.000000,True
cold,1.4017,-1.6815,0.1154,0.9000,0.000000,True
cold,1.5245,-0.1908,0.1357,-0.1255,1.000000,False
