type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,0.0818,-1.8146,126.1503,3.6427,0.232011,False
hot,1.5859,1.1402,137.8002,2.4784,0.494355,False
hot,2.0463,0.1819,137.0346,2.0762,0.594087,False
cold,1.1562,-1.1491,129.5780,1.8417,0.653433,False
hot,1.2482,-0.1375,136.3508,1.7169,0.678001,False
hot,2.0770,-1.3355,135.8209,1.4385,0.743241,False
cold,-2.0361,-0.9894,130.5749,1.3179,0.766794,False
hot,0.1739,0.6078,135.2003,1.1124,0.807938,False
cold,-1.5757,1.4331,132.0925,0.5205,0.891532,False
hot,0.3274,-0.9362,133.1409,0.0303,0.940720,False
hot,-1.4836,0.3416,132.7104,-0.1959,0.956479,False
cold,0.3581,0.7409,135.1701,-1.0965,0.989280,False
cold,1.4324,0.2618,135.9096,-1.4850,0.994568,False
