type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,1.4938,1.5395,19.1587,2.1908,0.250937,False
cold,-1.8519,-0.2706,14.9709,1.3601,0.565370,False
cold,-1.4836,-1.2556,15.1685,1.1925,0.629201,False
cold,0.9720,-1.6549,15.1894,1.1748,0.633316,False
cold,-1.5450,1.0870,15.3805,1.0128,0.705209,False
hot,0.1432,1.7259,17.5204,0.8017,0.774448,False
cold,-0.0716,-0.9362,15.7445,0.7041,0.804078,False
cold,0.3274,-0.3239,16.0352,0.4577,0.864995,False
cold,0.2967,0.7143,16.3349,0.2036,0.911479,False
cold,2.2305,-0.4836,16.4103,0.1396,0.922943,False
hot,0.0511,0.3416,16.4328,-0.1205,0.956380,False
