type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,1.5245,1.1935,1546.1089,2.9252,0.417636,False
cold,0.6650,-1.4419,1547.5468,2.2070,0.592166,False
cold,1.1868,-1.5484,1547.6448,2.1580,0.594293,False
cold,-0.4707,-1.2024,1547.7524,2.1042,0.610075,False
cold,1.8928,0.2351,1548.2946,1.8335,0.667843,False
hot,-2.1589,-0.5901,1555.1617,1.5968,0.719846,False
hot,0.1125,-0.7232,1554.8513,1.4417,0.753258,False
hot,-1.5450,-0.0577,1554.8838,1.4579,0.758799,False
hot,-0.2865,-0.1375,1554.7827,1.4074,0.764354,False
hot,0.5730,-0.4037,1554.6652,1.3487,0.777271,False
hot,-1.4222,1.3798,1554.0649,1.0489,0.826025,False
hot,1.3403,-0.6699,1553.7341,0.8837,0.845905,False
hot,-0.6855,1.9122,1553.5643,0.7989,0.863989,False
hot,2.0156,-1.3088,1553.1947,0.6142,0.884906,False
cold,-0.8697,0.1553,1551.5106,0.2270,0.923537,False
cold,-0.3479,1.3798,1552.9202,-0.4771,0.968002,False
cold,0.1739,-0.1375,1553.7053,-0.8693,0.982689,False
