type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-0.0103,0.4481,9.1027,1.7192,0.000000,True
hot,0.0511,-0.2973,9.1023,1.7011,0.000000,True
hot,0.0511,1.3266,9.1009,1.6357,0.000000,True
hot,0.6650,0.4747,9.1003,1.6105,0.000000,True
hot,1.3096,1.2467,9.0998,1.5899,0.000000,True
hot,1.6473,0.7409,9.0993,1.5671,0.000000,True
hot,1.7700,-0.7232,9.0955,1.3939,0.000000,True
cold,-0.5628,-1.2290,9.0134,2.2918,0.000000,True
cold,0.8799,-1.5750,8.9861,3.5160,0.000000,True
cold,0.4809,0.9273,9.0993,-1.5660,1.000000,False
