type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-1.7599,-0.1908,16.8444,1.1293,0.000000,True
hot,-1.3915,-1.7348,16.8033,0.2877,0.000000,True
hot,0.7878,-0.9628,16.8318,0.8720,0.000000,True
hot,0.9720,1.4597,16.8872,2.0058,0.000000,True
hot,1.1562,0.5280,16.9288,2.8569,0.000000,True
hot,1.7394,-1.8146,16.8005,0.2319,0.000000,True
cold,-2.0361,1.6460,16.7765,0.2592,0.000000,True
cold,-1.2073,-0.9362,16.7384,1.0404,0.000000,True
cold,-1.0846,0.8208,16.7357,1.0947,0.000000,True
cold,-0.7162,1.8324,16.7192,1.4334,0.000000,True
cold,-0.4400,-1.3621,16.6640,2.5612,0.000000,True
cold,-0.4093,-0.1908,16.7527,0.7479,0.000000,True
cold,0.2660,0.4747,16.6878,2.0752,0.000000,True
cold,0.6036,-1.8146,16.6659,2.5233,0.000000,True
cold,1.5859,-0.6966,16.7670,0.4547,0.000000,True
cold,1.8621,1.9122,16.7762,0.2660,0.000000,True
hot,-1.6064,1.3000,16.7930,0.0786,0.359161,False
hot,-1.0232,0.2085,16.7915,0.0475,0.649030,False
hot,-0.6241,1.2201,16.7733,-0.3263,1.000000,False
hot,-0.5628,-0.6699,16.7714,-0.3645,1.000000,False
hot,-0.1023,-0.0843,16.7577,-0.6439,1.000000,False
