type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-1.8230,0.2554,14.0727,0.9848,0.000000,True
cold,-1.5553,-1.1740,13.7339,0.9430,0.000000,True
cold,0.1656,-1.4803,13.2684,3.5923,0.000000,True
hot,1.6187,1.1488,14.0298,0.7407,0.000108,True
hot,0.0508,-0.5869,14.0309,0.7470,0.000707,True
cold,-2.6642,-0.2806,13.7823,0.6677,0.002104,True
cold,-0.5993,-0.8677,13.7811,0.6746,0.002153,True
hot,1.7334,1.8125,14.0083,0.6183,0.002504,True
cold,0.8539,-0.6380,13.7871,0.6405,0.003274,True
hot,-2.0524,-0.5614,14.0026,0.5862,0.010888,True
hot,0.9304,0.3830,13.9957,0.5469,0.019921,True
hot,-0.1021,1.2509,13.9798,0.4562,0.062590,False
hot,-0.7140,-0.2040,13.9408,0.2341,0.480890,False
hot,1.1598,-1.4037,13.9148,0.0861,0.839241,False
cold,-0.1021,0.2554,13.8962,0.0195,0.926195,False
cold,-1.0581,0.5617,13.9157,-0.0911,0.985456,False
cold,0.6627,1.0212,13.9388,-0.2226,0.999194,False
