type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,0.1656,-1.4293,134.2828,3.9587,0.131847,False
hot,0.0508,-0.5614,143.3568,1.1990,0.767966,False
hot,-1.8994,0.1023,142.8777,0.9266,0.822474,False
cold,-1.5553,-1.1485,139.7921,0.8272,0.839075,False
hot,1.6952,2.0422,142.6369,0.7898,0.842189,False
cold,-0.7140,-0.9698,139.8422,0.7987,0.847924,False
cold,-2.6260,-0.3061,140.1744,0.6099,0.875594,False
hot,1.0451,0.5107,142.2334,0.5605,0.878832,False
hot,1.1216,-1.0974,142.0835,0.4752,0.894544,False
cold,1.0068,-0.3827,140.5170,0.4151,0.898091,False
cold,-1.3258,-0.3061,140.5155,0.4160,0.899617,False
hot,-0.3316,1.2764,141.9576,0.4037,0.900494,False
hot,0.3568,1.6083,141.8779,0.3584,0.908636,False
hot,-0.5228,0.5873,141.8134,0.3217,0.910970,False
cold,0.2038,0.6383,140.6862,0.3190,0.911997,False
cold,2.3453,0.8170,140.9484,0.1700,0.926064,False
cold,-1.2111,1.5827,140.9671,0.1593,0.929920,False
cold,-1.0199,0.8680,141.0852,0.0922,0.936791,False
cold,-2.7025,2.1953,141.2474,0.0000,0.937128,False
cold,-2.9319,2.1443,141.2474,0.0000,0.938049,False
cold,-2.9319,2.1188,141.2474,0.0000,0.939062,False
cold,-2.9702,2.2464,141.2474,0.0000,0.939254,False
cold,-2.8937,2.0932,141.2474,0.0000,0.939305,False
cold,-2.7790,2.2464,141.2474,0.0000,0.939820,False
cold,-2.9702,2.1188,141.2474,0.0000,0.940004,False
cold,-2.7790,2.1698,141.2474,0.0000,0.940075,False
cold,-3.0084,2.2209,141.2474,0.0000,0.940330,False
cold,-2.8937,2.2464,141.2474,0.0000,0.940330,False
cold,-2.8554,2.2209,141.2474,0.0000,0.940369,False
cold,-2.7407,2.2464,141.2474,0.0000,0.940887,False
cold,-2.8554,2.1953,141.2474,0.0000,0.940964,False
cold,-2.9319,2.1698,141.2474,0.0000,0.941069,False
cold,-3.0084,2.1443,141.2474,0.0000,0.941193,False
cold,-2.6642,2.2209,141.2474,0.0000,0.941233,False
cold,-2.8937,2.1443,141.2474,0.0000,0.941288,False
cold,-2.8172,2.1443,141.2474,0.0000,0.941347,False
cold,-3.0084,2.1188,141.2474,0.0000,0.941524,False
cold,-2.8172,2.2464,141.2474,0.0000,0.941599,False
cold,-3.0084,2.0932,141.2474,0.0000,0.941695,False
cold,-2.9319,2.0677,141.2474,0.0000,0.941813,False
cold,-2.9702,2.1953,141.2474,0.0000,0.941896,False
cold,-2.7790,2.1443,141.2474,0.0000,0.941933,False
cold,-2.7025,2.2464,141.2474,0.0000,0.942008,False
hot,-2.8937,2.2464,141.2474,-0.0000,0.942010,False
cold,-2.9319,2.2464,141.2474,0.0000,0.942049,False
cold,-2.8937,2.2209,141.2474,0.0000,0.942189,False
cold,-2.8937,2.1953,141.2474,0.0000,0.942237,False
cold,-3.0084,2.0677,141.2474,0.0000,0.942273,False
cold,-2.8172,2.2209,141.2474,0.0000,0.942301,False
cold,-2.6642,2.2464,141.2474,0.0000,0.942343,False
cold,-2.9702,2.1698,141.2474,0.0000,0.942377,False
hot,-2.9702,2.2209,141.2474,-0.0000,0.942391,False
hot,-3.0084,2.2209,141.2474,-0.0000,0.942399,False
cold,-2.8554,2.1698,141.2474,0.0000,0.942406,False
cold,-3.0084,2.2464,141.2474,0.0000,0.942430,False
cold,-3.0084,2.1953,141.2474,0.0000,0.942659,False
cold,-2.8937,2.1188,141.2474,0.0000,0.942676,False
cold,-2.7025,2.2209,141.2474,0.0000,0.942678,False
cold,-3.0084,2.0167,141.2474,0.0000,0.942696,False
cold,-2.9319,2.1953,141.2474,0.0000,0.942716,False
cold,-3.0084,2.1698,141.2474,0.0000,0.942766,False
cold,-2.7025,2.1698,141.2474,0.0000,0.942767,False
cold,-2.6642,2.1953,141.2474,0.0000,0.942800,False
cold,-2.8554,2.1188,141.2474,0.0000,0.942943,False
hot,-3.0084,2.2464,141.2474,-0.0000,0.942986,False
cold,-2.8172,2.1698,141.2474,0.0000,0.943146,False
cold,-2.7790,2.2209,141.2474,0.0000,0.943148,False
cold,-2.9702,2.0677,141.2474,0.0000,0.943258,False
cold,-3.0084,2.0422,141.2474,0.0000,0.943276,False
hot,-2.9702,2.2464,141.2474,-0.0000,0.943297,False
hot,-2.9319,2.2464,141.2474,-0.0000,0.943327,False
cold,-2.9702,2.2209,141.2474,0.0000,0.943331,False
cold,-2.9702,2.0167,141.2474,0.0000,0.943510,False
cold,-2.9702,2.0932,141.2474,0.0000,0.943524,False
hot,-3.0084,2.1953,141.2474,-0.0000,0.943538,False
cold,-2.9319,2.0932,141.2474,0.0000,0.943606,False
cold,-2.8937,2.1698,141.2474,0.0000,0.943945,False
cold,-2.9702,2.1443,141.2474,0.0000,0.944212,False
cold,-0.2169,2.0932,141.2718,-0.0139,0.944335,False
cold,-2.8172,2.1953,141.2474,0.0000,0.944482,False
cold,-2.7790,2.1953,141.2474,0.0000,0.944501,False
cold,-2.8554,2.1443,141.2474,0.0000,0.944552,False
cold,-3.0084,1.9911,141.2474,0.0000,0.944856,False
cold,-2.8554,2.2464,141.2474,0.0000,0.944868,False
cold,-2.7407,2.2209,141.2474,0.0000,0.945014,False
cold,-2.7407,2.1953,141.2474,0.0000,0.945037,False
cold,-2.9702,2.0422,141.2474,0.0000,0.945108,False
cold,-2.9319,2.2209,141.2474,0.0000,0.945371,False
cold,-2.7407,2.1698,141.2474,0.0000,0.945735,False
