type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,0.2420,-1.1485,6.5353,2.3319,0.001422,True
hot,-2.0524,-1.0208,6.0658,1.5420,0.064808,False
cold,0.9686,-0.6635,4.5210,1.0571,0.283364,False
cold,-0.0257,-0.4082,4.5254,1.0496,0.284836,False
cold,-1.2876,-0.5359,4.6726,0.8019,0.471394,False
cold,-2.6260,-0.2040,4.8170,0.5591,0.661767,False
hot,-0.6757,1.8890,5.4519,0.5092,0.702291,False
hot,-1.3258,1.1743,5.4240,0.4623,0.738522,False
hot,1.7717,1.2254,5.3733,0.3770,0.782965,False
hot,-0.1786,0.3065,5.2125,0.1064,0.914869,False
cold,-0.4081,0.9446,5.1240,0.0425,0.931613,False
