type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-2.1289,-0.9443,0.0025,0.4684,0.000000,True
hot,-1.4405,0.3575,-0.0002,0.3000,0.000000,True
hot,-0.6757,-0.1019,-0.0003,0.2956,0.000000,True
hot,-0.4463,0.8170,0.0002,0.3235,0.000000,True
hot,-0.1786,1.6848,0.0000,0.3137,0.000000,True
hot,0.3568,-0.7145,0.0033,0.5200,0.000000,True
hot,0.8156,0.4596,0.0001,0.3205,0.000000,True
hot,1.4275,1.5827,0.0015,0.4079,0.000000,True
cold,-1.0199,0.4852,-0.0004,-0.2866,1.000000,False
cold,0.0126,0.0257,-0.0009,-0.2543,1.000000,False
cold,0.3185,1.0212,-0.0007,-0.2712,1.000000,False
