type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-2.0524,-1.0974,9.1511,0.3043,0.000000,True
hot,-1.6700,0.5107,9.1655,1.0228,0.000000,True
hot,-1.4023,1.2254,9.1616,0.8298,0.000000,True
hot,0.2420,-0.5614,9.1621,0.8555,0.000000,True
hot,0.8539,0.2809,9.1720,1.3481,0.000000,True
hot,1.5040,1.3275,9.1731,1.3998,0.000000,True
cold,-2.7407,-0.4082,9.1274,0.8761,0.000000,True
cold,-1.3641,-0.5359,9.1262,0.9369,0.000000,True
cold,0.0126,-1.4548,9.0865,2.9146,0.000000,True
cold,-3.0084,2.2464,9.1450,-0.0000,0.942283,False
cold,-0.8287,0.7404,9.1498,-0.2402,1.000000,False
cold,0.4332,0.9446,9.1597,-0.7337,1.000000,False
