type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,0.6627,-0.7911,14.7549,1.6369,0.000000,True
cold,-2.0906,-0.7656,14.1949,0.9968,0.000000,True
cold,-1.2876,1.3275,14.1709,1.1095,0.000000,True
cold,0.0891,-1.2250,14.1696,1.1159,0.000000,True
cold,1.9246,1.0212,14.2474,0.7498,0.003212,True
hot,-1.4023,-0.6124,14.5636,0.7369,0.007001,True
cold,-0.8287,-1.1995,14.2900,0.5494,0.062703,False
cold,0.2420,0.8680,14.2910,0.5447,0.071222,False
hot,1.4657,2.1443,14.5027,0.4506,0.155755,False
hot,-2.4348,-1.4548,14.4916,0.3983,0.241120,False
hot,-2.3966,-0.0254,14.4878,0.3805,0.285786,False
cold,1.3892,0.0767,14.3324,0.3501,0.332463,False
cold,-0.9052,-0.1019,14.3401,0.3140,0.409805,False
hot,-0.5610,1.0722,14.4457,0.1827,0.697089,False
hot,1.0833,0.6638,14.4254,0.0873,0.854397,False
