type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,-0.0639,-1.5058,27.1088,4.0653,0.000000,True
hot,-1.6318,0.7149,29.5357,1.3934,0.014302,True
hot,-0.5228,0.0002,29.3609,1.0003,0.132469,False
hot,-2.3583,-0.9187,29.3491,0.9738,0.144461,False
hot,0.2420,1.6593,29.2558,0.7638,0.305960,False
cold,1.7717,1.9146,28.6847,0.5207,0.550061,False
cold,0.4332,-0.2040,28.6940,0.4999,0.572954,False
hot,1.8481,0.7404,29.1110,0.4381,0.641922,False
hot,1.4275,-0.7145,28.9681,0.1168,0.895270,False
cold,-2.6642,0.1278,28.8648,0.1156,0.897080,False
cold,-0.8287,0.7149,28.9086,0.0170,0.935650,False
