type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,-2.5056,-1.1907,0.1572,0.6117,0.000000,True
hot,-0.0009,1.2282,0.1587,0.6944,0.000000,True
hot,0.1780,-1.2884,0.1604,0.7873,0.000000,True
hot,0.8221,0.0065,0.1567,0.5852,0.000000,True
hot,1.7882,1.8391,0.1556,0.5225,0.000000,True
cold,-1.0386,-1.1418,0.1363,0.5535,0.000000,True
cold,-0.9670,1.5947,0.1399,0.3536,0.000000,True
cold,0.0349,0.3242,0.1362,0.5618,0.000000,True
cold,0.9294,1.9368,0.1353,0.6113,0.000000,True
cold,1.1441,-0.8486,0.1431,0.1763,0.000000,True
cold,2.3249,1.0816,0.1383,0.4425,0.000000,True
cold,-2.6129,0.1532,0.1460,0.0146,0.717187,False
