type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,1.3230,-0.5066,12.7932,3.0003,0.000000,True
hot,-0.2514,1.3748,14.9644,1.4950,0.018360,True
hot,0.6432,-0.0912,14.7923,1.1386,0.108034,False
hot,1.8597,0.5930,14.7752,1.1032,0.118205,False
hot,1.0010,1.7169,14.6242,0.7907,0.349507,False
cold,-2.3267,-1.4839,13.8710,0.7688,0.362074,False
cold,-1.2890,1.1549,13.9775,0.5484,0.567617,False
hot,-2.4340,-0.5310,14.4306,0.3898,0.715870,False
cold,-1.3964,0.5197,14.0541,0.3896,0.724166,False
hot,-2.0404,-0.1401,14.4244,0.3770,0.737264,False
hot,0.3211,-1.4106,14.3451,0.2128,0.850906,False
cold,-0.3587,-0.4577,14.2703,-0.0579,0.956824,False
cold,1.3588,1.0083,14.4849,-0.5023,0.997679,False
