type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,-0.8954,-1.6061,134.1526,3.9127,0.259664,False
cold,1.2515,-0.4821,134.6882,3.6619,0.313590,False
hot,-0.2871,1.2282,147.5740,2.3713,0.583089,False
cold,-2.2193,-1.3617,137.9939,2.1142,0.641929,False
hot,0.6432,-0.0423,146.4752,1.8568,0.692739,False
hot,1.7882,0.6663,145.9706,1.6206,0.739245,False
hot,0.8936,1.3015,145.8605,1.5690,0.752297,False
hot,2.0744,1.5459,144.6700,1.0116,0.843581,False
cold,-1.2175,1.1794,140.5662,0.9098,0.855257,False
cold,-0.4303,-0.5554,141.7297,0.3651,0.913309,False
hot,-2.4698,-0.4577,143.1665,0.3077,0.919320,False
hot,-1.9331,-0.0668,143.1488,0.2994,0.920842,False
cold,1.3946,1.0328,144.5695,-0.9646,0.983561,False
cold,1.7166,1.4237,144.5704,-0.9650,0.984680,False
