type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,-0.6092,1.8391,10.2226,1.9830,0.440152,False
hot,1.1083,-0.2134,15.2781,1.5860,0.580954,False
hot,1.8955,1.4481,15.2785,1.5863,0.583218,False
cold,-1.3248,-0.7753,11.5217,1.0658,0.740519,False
hot,1.2872,0.6907,14.4984,1.0356,0.753579,False
cold,0.7147,1.4970,11.6137,1.0009,0.764292,False
cold,-2.0404,-1.0441,11.7202,0.9257,0.782062,False
hot,-1.2175,0.4219,14.1221,0.7700,0.820808,False
hot,-1.1101,1.0328,14.0149,0.6943,0.836089,False
hot,0.0707,0.9350,13.8279,0.5622,0.861298,False
hot,-0.0367,0.1532,13.8018,0.5438,0.867457,False
cold,0.7147,-0.9464,12.3165,0.5047,0.868011,False
hot,-2.0047,-0.0668,13.6598,0.4436,0.881000,False
cold,2.1460,0.5685,12.5427,0.3450,0.895232,False
cold,-0.5018,0.6174,12.8189,0.1501,0.926180,False
